Year,Lambda_Direct,Lambda_Shifted_N10
2002,104810.8323507917,121536.61631351491
2003,106526.27740980628,123239.20662992731
2004,108218.73956151002,124952.74652860546
2005,109961.45100864569,126649.13472401572
2006,111646.11374459574,128252.5908334629
2007,113290.63067090684,129745.56394186219
2008,114975.755987995,131279.80970105747
2009,116625.79406677846,132967.9260213556
2010,118267.33955431673,134772.13836689992
2011,119919.30162416898,136482.9568754592
2012,121536.61631351491,137972.0708436251
2013,123239.20662992731,139445.94577255234
2014,124952.74652860546,140839.1484500065
2015,126649.13472401572,142114.75586557115
2016,128252.5908334629,143368.26634732803
2017,129745.56394186219,144597.75770857418
2018,131279.80970105747,145974.04154702317
2019,132967.9260213556,147316.28252096975
2020,134772.13836689992,148736.04515039295
2021,136482.9568754592,150070.0877855117
2022,137972.0708436251,151129.7294421341
2023,139445.94577255234,151939.6465008315
2024,140839.1484500065,152879.165309921
2025,142114.75586557115,154235.0348008894
2026,143368.26634732803,155329.05140097457
2027,144597.75770857418,156322.6127638567
2028,145974.04154702317,156685.01590242374
2029,147316.28252096975,155860.6121387483
2030,148736.04515039295,154267.1277408802
2031,150070.0877855117,152265.9416490726
2032,151129.7294421341,150080.8648456412
2033,151939.6465008315,148020.92633129173
2034,152879.165309921,146282.0436508736
2035,154235.0348008894,145159.60952403233
2036,155329.05140097457,144146.84871591598
2037,156322.6127638567,143259.08598758365
2038,156685.01590242374,142675.915827651
2039,155860.6121387483,141944.02049756353
2040,154267.1277408802,141371.9871981799
2041,152265.9416490726,141018.0643688096
2042,150080.8648456412,140652.3678164644
2043,148020.92633129173,140213.10812026597
2044,146282.0436508736,139703.63425245715
2045,145159.60952403233,139094.40843736797
2046,144146.84871591598,138416.86524469615
2047,143259.08598758365,137642.54645899817
2048,142675.915827651,136803.2084470098
2049,141944.02049756353,135919.88828001032
2050,141371.9871981799,134966.43154328992
2051,141018.0643688096,133935.50615077894
2052,140652.3678164644,132856.9334985581
2053,140213.10812026597,131764.01962658516
2054,139703.63425245715,130641.49490463894
2055,139094.40843736797,129497.14666942421
2056,138416.86524469615,128330.66668162897
2057,137642.54645899817,127178.72694870832
2058,136803.2084470098,126054.8329643779
2059,135919.88828001032,124968.4604774893
2060,134966.43154328992,123921.89418076628
2061,133935.50615077894,122887.30957829145
2062,132856.9334985581,121901.74295222986
2063,131764.01962658516,120952.60254101103
2064,130641.49490463894,120053.42519319215
2065,129497.14666942421,119204.64457584565
2066,128330.66668162897,118404.69747757951
2067,127178.72694870832,117635.30414760008
2068,126054.8329643779,116900.57226706325
2069,124968.4604774893,116194.3803700278
2070,123921.89418076628,115482.89989231576
