track,variant,unit,year,band,females
A,A1,India,1950,00-04,12084545.130352022
A,A1,India,1951,00-04,12337893.023822634
A,A1,India,1952,00-04,12605221.036359087
A,A1,India,1953,00-04,12886248.344545648
A,A1,India,1954,00-04,13172071.403194502
A,A1,India,1955,00-04,13478850.57389355
A,A1,India,1956,00-04,13793843.231312137
A,A1,India,1957,00-04,14119583.239402363
A,A1,India,1958,00-04,14437916.992140831
A,A1,India,1959,00-04,14780374.65817149
A,A1,India,1960,00-04,15126738.836768588
A,A1,India,1961,00-04,15485055.376196424
A,A1,India,1962,00-04,15855414.621401025
A,A1,India,1963,00-04,16226515.55075735
A,A1,India,1964,00-04,16609707.983762594
A,A1,India,1965,00-04,16998461.27146015
A,A1,India,1966,00-04,17372406.761473045
A,A1,India,1967,00-04,17744096.45564626
A,A1,India,1968,00-04,18134822.250496365
A,A1,India,1969,00-04,18527467.621671878
A,A1,India,1970,00-04,18929082.23026723
A,A1,India,1971,00-04,19366560.88212109
A,A1,India,1972,00-04,19786688.591316454
A,A1,India,1973,00-04,20238050.926619608
A,A1,India,1974,00-04,20694516.736262247
A,A1,India,1975,00-04,21182926.01004838
A,A1,India,1976,00-04,21679039.546993837
A,A1,India,1977,00-04,22187759.90181894
A,A1,India,1978,00-04,22709476.369881075
A,A1,India,1979,00-04,23223137.2011013
A,A1,India,1980,00-04,23779188.446565673
A,A1,India,1981,00-04,24343058.372785546
A,A1,India,1982,00-04,24917139.96070327
A,A1,India,1983,00-04,25504402.339689136
A,A1,India,1984,00-04,26110992.518964976
A,A1,India,1985,00-04,26731477.040363505
A,A1,India,1986,00-04,27360996.998969804
A,A1,India,1987,00-04,28004358.006331753
A,A1,India,1988,00-04,28649799.920279883
A,A1,India,1989,00-04,29304728.41610211
A,A1,India,1990,00-04,29969591.593129516
A,A1,India,1991,00-04,30639923.97475951
A,A1,India,1992,00-04,31303588.52233026
A,A1,India,1993,00-04,31975838.95761803
A,A1,India,1994,00-04,32645521.740233924
A,A1,India,1995,00-04,33304781.57289134
A,A1,India,1996,00-04,33976295.182062216
A,A1,India,1997,00-04,34650061.03418164
A,A1,India,1998,00-04,35325986.75408006
A,A1,India,1999,00-04,36004449.89082171
A,A1,India,2000,00-04,36683011.78343536
A,A1,India,2001,00-04,37372189.13470071
A,A1,India,2002,00-04,38072873.14022912
A,A1,India,2003,00-04,38746045.079464905
A,A1,India,2004,00-04,39413650.00082987
A,A1,India,2005,00-04,40087879.03394072
A,A1,India,2006,00-04,40722285.88554314
A,A1,India,2007,00-04,41365871.957682386
A,A1,India,2008,00-04,41974578.42743982
A,A1,India,2009,00-04,42581213.99671264
A,A1,India,2010,00-04,43215676.02688966
A,A1,India,2011,00-04,43849513.255782545
A,A1,India,2012,00-04,44470251.33759545
A,A1,India,2013,00-04,45108603.74638819
A,A1,India,2014,00-04,45747628.30109741
A,A1,India,2015,00-04,46387056.145969
A,A1,India,2016,00-04,47009601.29056149
A,A1,India,2017,00-04,47597547.62597828
A,A1,India,2018,00-04,48185624.444845594
A,A1,India,2019,00-04,48774784.15217724
A,A1,India,2020,00-04,49364497.86978125
A,A1,India,2021,00-04,49936789.41014617
A,A1,India,2022,00-04,50473108.58880264
A,A1,India,2023,00-04,51010091.099896625
A,A1,India,2024,00-04,51548100.74251017
A,A1,India,2025,00-04,52086690.842138216
A,A1,India,2026,00-04,52604015.079200275
A,A1,India,2027,00-04,53077946.84809625
A,A1,India,2028,00-04,53552343.4509556
A,A1,India,2029,00-04,54027714.2514612
A,A1,India,2030,00-04,54504151.48476468
A,A1,India,2031,00-04,54957804.31001908
A,A1,India,2032,00-04,55365649.63216871
A,A1,India,2033,00-04,55773924.59245746
A,A1,India,2034,00-04,56183270.42112027
A,A1,India,2035,00-04,56593361.22269892
A,A1,India,2036,00-04,57004419.50883731
A,A1,India,2037,00-04,57371221.6118958
A,A1,India,2038,00-04,57722330.34302234
A,A1,India,2039,00-04,58057882.58581829
A,A1,India,2040,00-04,58378922.13323712
A,A1,India,2041,00-04,58686201.771094956
A,A1,India,2042,00-04,58978664.018078245
A,A1,India,2043,00-04,59255656.27236873
A,A1,India,2044,00-04,59516870.06492107
A,A1,India,2045,00-04,59764461.053487174
A,A1,India,2046,00-04,59997360.2881274
A,A1,India,2047,00-04,60215701.91477099
A,A1,India,2048,00-04,60419124.70869278
A,A1,India,2049,00-04,60608295.330026776
A,A1,India,2050,00-04,60784424.86568463
A,A1,India,2051,00-04,60948342.46033461
A,A1,India,2052,00-04,61099449.377705485
A,A1,India,2053,00-04,61237778.54385268
A,A1,India,2054,00-04,61364134.16843178
A,A1,India,2055,00-04,61475917.978716195
A,A1,India,2056,00-04,61576516.69697617
A,A1,India,2057,00-04,61664810.24539713
A,A1,India,2058,00-04,61742055.65938608
A,A1,India,2059,00-04,61806710.00178712
A,A1,India,2060,00-04,61859098.68561571
A,A1,India,2061,00-04,61898898.66557274
A,A1,India,2062,00-04,61924331.63869913
A,A1,India,2063,00-04,61937582.4152543
A,A1,India,2064,00-04,61938498.721480705
A,A1,India,2065,00-04,61926463.249331884
A,A1,India,2066,00-04,61900266.095754415
A,A1,India,2067,00-04,61862890.73132812
A,A1,India,2068,00-04,61811182.10002915
A,A1,India,2069,00-04,61745350.26269215
A,A1,India,2070,00-04,61666051.964638986
A,A1,India,2071,00-04,61573411.95492467
A,A1,India,2072,00-04,61468806.986614026
A,A1,India,2073,00-04,61350694.936453596
A,A1,India,2074,00-04,61221769.82169976
A,A1,India,2075,00-04,61080777.78856438
A,A1,India,2076,00-04,60927581.50949933
A,A1,India,2077,00-04,60764388.658025004
A,A1,India,2078,00-04,60590861.76057076
A,A1,India,2079,00-04,60407458.52630304
A,A1,India,2080,00-04,60214513.24717354
A,A1,India,2081,00-04,60012425.8452716
A,A1,India,2082,00-04,59802226.27720827
A,A1,India,2083,00-04,59585156.262225404
A,A1,India,2084,00-04,59360025.65290284
A,A1,India,2085,00-04,59128805.203143984
A,A1,India,2086,00-04,58890001.25388936
A,A1,India,2087,00-04,58645816.07730651
A,A1,India,2088,00-04,58398304.185264654
A,A1,India,2089,00-04,58144916.50914251
A,A1,India,2090,00-04,57887043.564356156
A,A1,India,2091,00-04,57624416.023171075
A,A1,India,2092,00-04,57358913.63039362
A,A1,India,2093,00-04,57091829.52910506
A,A1,India,2094,00-04,56820279.61882102
A,A1,India,2095,00-04,56546511.97222209
A,A1,India,2096,00-04,56270710.38328973
A,A1,India,2097,00-04,55994188.86060553
A,A1,India,2098,00-04,55716350.07372976
A,A1,India,2099,00-04,55436227.99439271
A,A1,India,2100,00-04,55156417.26975536
A,A1,India,1950,05-09,12510734.035890117
A,A1,India,1951,05-09,12773016.817705628
A,A1,India,1952,05-09,13049772.75920868
A,A1,India,1953,05-09,13340711.133108549
A,A1,India,1954,05-09,13636614.390492989
A,A1,India,1955,05-09,13954212.82477141
A,A1,India,1956,05-09,14280314.413016077
A,A1,India,1957,05-09,14617542.381641058
A,A1,India,1958,05-09,14947102.896513477
A,A1,India,1959,05-09,15301638.109220853
A,A1,India,1960,05-09,15660217.606524749
A,A1,India,1961,05-09,16031170.991785644
A,A1,India,1962,05-09,16414591.796169104
A,A1,India,1963,05-09,16798780.441878885
A,A1,India,1964,05-09,17195487.025551062
A,A1,India,1965,05-09,17597950.580074638
A,A1,India,1966,05-09,17985084.106327247
A,A1,India,1967,05-09,18369882.28098117
A,A1,India,1968,05-09,18774387.907597914
A,A1,India,1969,05-09,19180880.80875497
A,A1,India,1970,05-09,19596659.267841928
A,A1,India,1971,05-09,20049566.59705342
A,A1,India,1972,05-09,20484511.06324184
A,A1,India,1973,05-09,20951791.715503473
A,A1,India,1974,05-09,21424355.82770767
A,A1,India,1975,05-09,21929989.962802548
A,A1,India,1976,05-09,22443600.069379106
A,A1,India,1977,05-09,22970261.601874463
A,A1,India,1978,05-09,23510377.58503016
A,A1,India,1979,05-09,24042153.831031334
A,A1,India,1980,05-09,24617815.485424735
A,A1,India,1981,05-09,25201571.564092167
A,A1,India,1982,05-09,25795899.441878896
A,A1,India,1983,05-09,26403872.961239837
A,A1,India,1984,05-09,27031855.919625457
A,A1,India,1985,05-09,27674223.235636927
A,A1,India,1986,05-09,28325944.644051943
A,A1,India,1987,05-09,28991995.237214256
A,A1,India,1988,05-09,29660200.124855377
A,A1,India,1989,05-09,30338226.16020676
A,A1,India,1990,05-09,31026537.24583919
A,A1,India,1991,05-09,31720510.41998492
A,A1,India,1992,05-09,32407580.603773057
A,A1,India,1993,05-09,33103539.476091143
A,A1,India,1994,05-09,33796840.14163951
A,A1,India,1995,05-09,34479350.26824797
A,A1,India,1996,05-09,35174546.32860417
A,A1,India,1997,05-09,35872074.062367156
A,A1,India,1998,05-09,36571837.83654741
A,A1,India,1999,05-09,37274228.515333615
A,A1,India,2000,05-09,37976721.43284175
A,A1,India,2001,05-09,38690204.18723887
A,A1,India,2002,05-09,39415599.404171854
A,A1,India,2003,05-09,40112512.279365696
A,A1,India,2004,05-09,40803661.80317115
A,A1,India,2005,05-09,41501669.053054236
A,A1,India,2006,05-09,42158449.701835945
A,A1,India,2007,05-09,42824733.29719561
A,A1,India,2008,05-09,43454907.181848824
A,A1,India,2009,05-09,44082937.13101266
A,A1,India,2010,05-09,44739774.9043666
A,A1,India,2011,05-09,45395965.84140137
A,A1,India,2012,05-09,46038595.66021057
A,A1,India,2013,05-09,46695645.57292831
A,A1,India,2014,05-09,47353385.29675798
A,A1,India,2015,05-09,48011601.068859056
A,A1,India,2016,05-09,48652459.46896984
A,A1,India,2017,05-09,49257773.761710994
A,A1,India,2018,05-09,49863245.07444194
A,A1,India,2019,05-09,50469862.02794539
A,A1,India,2020,05-09,51077093.50616445
A,A1,India,2021,05-09,51665770.95959793
A,A1,India,2022,05-09,52216166.11286116
A,A1,India,2023,05-09,52767260.04933964
A,A1,India,2024,05-09,53319442.76186558
A,A1,India,2025,05-09,53872269.907072194
A,A1,India,2026,05-09,54402863.97765851
A,A1,India,2027,05-09,54888077.560263164
A,A1,India,2028,05-09,55373770.36233806
A,A1,India,2029,05-09,55860549.105949566
A,A1,India,2030,05-09,56348459.341374844
A,A1,India,2031,05-09,56812954.261730656
A,A1,India,2032,05-09,57230348.25410673
A,A1,India,2033,05-09,57648259.60578892
A,A1,India,2034,05-09,58067307.47185572
A,A1,India,2035,05-09,58487175.199081674
A,A1,India,2036,05-09,58908082.65128961
A,A1,India,2037,05-09,59287134.11413778
A,A1,India,2038,05-09,59649968.12474613
A,A1,India,2039,05-09,59996726.13794517
A,A1,India,2040,05-09,60328486.80416422
A,A1,India,2041,05-09,60646028.04850899
A,A1,India,2042,05-09,60948257.07506724
A,A1,India,2043,05-09,61234499.488376655
A,A1,India,2044,05-09,61504436.51806507
A,A1,India,2045,05-09,61760295.810096025
A,A1,India,2046,05-09,62000972.71693622
A,A1,India,2047,05-09,62226605.864319555
A,A1,India,2048,05-09,62436821.9644176
