track,variant,unit,year,band,females
A,A1,Andaman & Nicobar,1950,00-04,2626.6821013271706
A,A1,Andaman & Nicobar,1951,00-04,2681.7494927771627
A,A1,Andaman & Nicobar,1952,00-04,2739.8555859845305
A,A1,Andaman & Nicobar,1953,00-04,2800.939341511561
A,A1,Andaman & Nicobar,1954,00-04,2863.0654955538744
A,A1,Andaman & Nicobar,1955,00-04,2929.7466447442785
A,A1,Andaman & Nicobar,1956,00-04,2998.213067465709
A,A1,Andaman & Nicobar,1957,00-04,3069.01552131958
A,A1,Andaman & Nicobar,1958,00-04,3138.2081604753807
A,A1,Andaman & Nicobar,1959,00-04,3212.6443442226464
A,A1,Andaman & Nicobar,1960,00-04,3287.9296428125645
A,A1,Andaman & Nicobar,1961,00-04,3365.812892084452
A,A1,Andaman & Nicobar,1962,00-04,3446.3137293064187
A,A1,Andaman & Nicobar,1963,00-04,3526.9757780978025
A,A1,Andaman & Nicobar,1964,00-04,3610.266021485686
A,A1,Andaman & Nicobar,1965,00-04,3694.7649655181394
A,A1,Andaman & Nicobar,1966,00-04,3776.0453045705267
A,A1,Andaman & Nicobar,1967,00-04,3856.8353265698174
A,A1,Andaman & Nicobar,1968,00-04,3941.7630123692497
A,A1,Andaman & Nicobar,1969,00-04,4027.1079349551474
A,A1,Andaman & Nicobar,1970,00-04,4114.40240012946
A,A1,Andaman & Nicobar,1971,00-04,4209.4922303334215
A,A1,Andaman & Nicobar,1972,00-04,4300.810680644252
A,A1,Andaman & Nicobar,1973,00-04,4398.918251476707
A,A1,Andaman & Nicobar,1974,00-04,4498.135107313897
A,A1,Andaman & Nicobar,1975,00-04,4604.29515585011
A,A1,Andaman & Nicobar,1976,00-04,4712.12979370071
A,A1,Andaman & Nicobar,1977,00-04,4822.704634225221
A,A1,Andaman & Nicobar,1978,00-04,4936.104294191282
A,A1,Andaman & Nicobar,1979,00-04,5047.752990684644
A,A1,Andaman & Nicobar,1980,00-04,5168.615616304992
A,A1,Andaman & Nicobar,1981,00-04,5291.177700909931
A,A1,Andaman & Nicobar,1982,00-04,5415.959379940414
A,A1,Andaman & Nicobar,1983,00-04,5543.606019762266
A,A1,Andaman & Nicobar,1984,00-04,5675.453726859066
A,A1,Andaman & Nicobar,1985,00-04,5810.321491340707
A,A1,Andaman & Nicobar,1986,00-04,5947.153187516533
A,A1,Andaman & Nicobar,1987,00-04,6086.993357295452
A,A1,Andaman & Nicobar,1988,00-04,6227.285830411031
A,A1,Andaman & Nicobar,1989,00-04,6369.640295479363
A,A1,Andaman & Nicobar,1990,00-04,6514.154150828631
A,A1,Andaman & Nicobar,1991,00-04,6659.856785869908
A,A1,Andaman & Nicobar,1992,00-04,6804.110108571406
A,A1,Andaman & Nicobar,1993,00-04,6950.229649433956
A,A1,Andaman & Nicobar,1994,00-04,7095.791088419861
A,A1,Andaman & Nicobar,1995,00-04,7239.0870076196525
A,A1,Andaman & Nicobar,1996,00-04,7385.046392849353
A,A1,Andaman & Nicobar,1997,00-04,7531.495322880034
A,A1,Andaman & Nicobar,1998,00-04,7678.413719156663
A,A1,Andaman & Nicobar,1999,00-04,7825.883645286823
A,A1,Andaman & Nicobar,2000,00-04,7973.3750368737765
A,A1,Andaman & Nicobar,2001,00-04,8123.173791703369
A,A1,Andaman & Nicobar,2002,00-04,8275.473618974906
A,A1,Andaman & Nicobar,2003,00-04,8421.793456820125
A,A1,Andaman & Nicobar,2004,00-04,8566.903254399755
A,A1,Andaman & Nicobar,2005,00-04,8713.452860890056
A,A1,Andaman & Nicobar,2006,00-04,8851.346766211995
A,A1,Andaman & Nicobar,2007,00-04,8991.235855798466
A,A1,Andaman & Nicobar,2008,00-04,9123.543557232599
A,A1,Andaman & Nicobar,2009,00-04,9255.401130244196
A,A1,Andaman & Nicobar,2010,00-04,9393.307029114312
A,A1,Andaman & Nicobar,2011,00-04,9531.077121933624
A,A1,Andaman & Nicobar,2012,00-04,9666.000000000002
A,A1,Andaman & Nicobar,2013,00-04,9774.000000000002
A,A1,Andaman & Nicobar,2014,00-04,9828.000000000002
A,A1,Andaman & Nicobar,2015,00-04,9882.000000000002
A,A1,Andaman & Nicobar,2016,00-04,9936.000000000002
A,A1,Andaman & Nicobar,2017,00-04,9990.000000000002
A,A1,Andaman & Nicobar,2018,00-04,10044.000000000002
A,A1,Andaman & Nicobar,2019,00-04,10098.000000000002
A,A1,Andaman & Nicobar,2020,00-04,10152.000000000002
A,A1,Andaman & Nicobar,2021,00-04,10206.000000000002
A,A1,Andaman & Nicobar,2022,00-04,10260.000000000002
A,A1,Andaman & Nicobar,2023,00-04,10314.000000000002
A,A1,Andaman & Nicobar,2024,00-04,10314.000000000002
A,A1,Andaman & Nicobar,2025,00-04,10368.000000000002
A,A1,Andaman & Nicobar,2026,00-04,10422.000000000002
A,A1,Andaman & Nicobar,2027,00-04,10422.000000000002
A,A1,Andaman & Nicobar,2028,00-04,10476.000000000002
A,A1,Andaman & Nicobar,2029,00-04,10476.000000000002
A,A1,Andaman & Nicobar,2030,00-04,10530.000000000002
A,A1,Andaman & Nicobar,2031,00-04,10530.000000000002
A,A1,Andaman & Nicobar,2032,00-04,10530.000000000002
A,A1,Andaman & Nicobar,2033,00-04,10584.000000000002
A,A1,Andaman & Nicobar,2034,00-04,10584.000000000002
A,A1,Andaman & Nicobar,2035,00-04,10584.000000000002
A,A1,Andaman & Nicobar,2036,00-04,10638.000000000002
A,A1,Andaman & Nicobar,2037,00-04,10706.45154824761
A,A1,Andaman & Nicobar,2038,00-04,10771.974444786276
A,A1,Andaman & Nicobar,2039,00-04,10834.594234438022
A,A1,Andaman & Nicobar,2040,00-04,10894.50570682679
A,A1,Andaman & Nicobar,2041,00-04,10951.849344665696
A,A1,Andaman & Nicobar,2042,00-04,11006.427803848599
A,A1,Andaman & Nicobar,2043,00-04,11058.1192977105
A,A1,Andaman & Nicobar,2044,00-04,11106.866260649767
A,A1,Andaman & Nicobar,2045,00-04,11153.070975285233
A,A1,Andaman & Nicobar,2046,00-04,11196.533957268908
A,A1,Andaman & Nicobar,2047,00-04,11237.280240526377
A,A1,Andaman & Nicobar,2048,00-04,11275.242414343526
A,A1,Andaman & Nicobar,2049,00-04,11310.544888907607
A,A1,Andaman & Nicobar,2050,00-04,11343.41367375748
A,A1,Andaman & Nicobar,2051,00-04,11374.003501474548
A,A1,Andaman & Nicobar,2052,00-04,11402.202637626477
A,A1,Andaman & Nicobar,2053,00-04,11428.017226778564
A,A1,Andaman & Nicobar,2054,00-04,11451.597348212203
A,A1,Andaman & Nicobar,2055,00-04,11472.458119781348
A,A1,Andaman & Nicobar,2056,00-04,11491.2315618069
A,A1,Andaman & Nicobar,2057,00-04,11507.708648604646
A,A1,Andaman & Nicobar,2058,00-04,11522.123964488832
A,A1,Andaman & Nicobar,2059,00-04,11534.189570987213
A,A1,Andaman & Nicobar,2060,00-04,11543.966195736146
A,A1,Andaman & Nicobar,2061,00-04,11551.393552955655
A,A1,Andaman & Nicobar,2062,00-04,11556.139780887623
A,A1,Andaman & Nicobar,2063,00-04,11558.612602507568
A,A1,Andaman & Nicobar,2064,00-04,11558.783600926992
A,A1,Andaman & Nicobar,2065,00-04,11556.537575902581
A,A1,Andaman & Nicobar,2066,00-04,11551.648738823662
A,A1,Andaman & Nicobar,2067,00-04,11544.673856346257
A,A1,Andaman & Nicobar,2068,00-04,11535.024141034739
