track,variant,unit,year,band,females
B,B-hold_hold,Andaman & Nicobar,1950,00-04,6608.082755357894
B,B-hold_hold,Andaman & Nicobar,1951,00-04,6885.393478884454
B,B-hold_hold,Andaman & Nicobar,1952,00-04,7175.189252604168
B,B-hold_hold,Andaman & Nicobar,1953,00-04,7491.875618940732
B,B-hold_hold,Andaman & Nicobar,1954,00-04,7842.782121686464
B,B-hold_hold,Andaman & Nicobar,1955,00-04,8096.900997957594
B,B-hold_hold,Andaman & Nicobar,1956,00-04,8337.666848265628
B,B-hold_hold,Andaman & Nicobar,1957,00-04,8568.986224537675
B,B-hold_hold,Andaman & Nicobar,1958,00-04,8781.505980622858
B,B-hold_hold,Andaman & Nicobar,1959,00-04,8976.589020905596
B,B-hold_hold,Andaman & Nicobar,1960,00-04,9156.15451569172
B,B-hold_hold,Andaman & Nicobar,1961,00-04,9343.616659974257
B,B-hold_hold,Andaman & Nicobar,1962,00-04,9535.14160768559
B,B-hold_hold,Andaman & Nicobar,1963,00-04,9732.069526104993
B,B-hold_hold,Andaman & Nicobar,1964,00-04,9942.197920375022
B,B-hold_hold,Andaman & Nicobar,1965,00-04,10162.754714361683
B,B-hold_hold,Andaman & Nicobar,1966,00-04,10332.14482582223
B,B-hold_hold,Andaman & Nicobar,1967,00-04,10490.359385715434
B,B-hold_hold,Andaman & Nicobar,1968,00-04,10645.550439393257
B,B-hold_hold,Andaman & Nicobar,1969,00-04,10831.59521599298
B,B-hold_hold,Andaman & Nicobar,1970,00-04,11011.173665641341
B,B-hold_hold,Andaman & Nicobar,1971,00-04,11211.59833932523
B,B-hold_hold,Andaman & Nicobar,1972,00-04,11425.58992639161
B,B-hold_hold,Andaman & Nicobar,1973,00-04,11640.754325067948
B,B-hold_hold,Andaman & Nicobar,1974,00-04,11862.085238169566
B,B-hold_hold,Andaman & Nicobar,1975,00-04,12104.769465628598
B,B-hold_hold,Andaman & Nicobar,1976,00-04,12329.985515476892
B,B-hold_hold,Andaman & Nicobar,1977,00-04,12561.640131857466
B,B-hold_hold,Andaman & Nicobar,1978,00-04,12771.619148634338
B,B-hold_hold,Andaman & Nicobar,1979,00-04,12965.876779123055
B,B-hold_hold,Andaman & Nicobar,1980,00-04,13182.568794003702
B,B-hold_hold,Andaman & Nicobar,1981,00-04,13448.89379435245
B,B-hold_hold,Andaman & Nicobar,1982,00-04,13707.491615953657
B,B-hold_hold,Andaman & Nicobar,1983,00-04,13992.08402959774
B,B-hold_hold,Andaman & Nicobar,1984,00-04,14293.70098291715
B,B-hold_hold,Andaman & Nicobar,1985,00-04,14597.137962188515
B,B-hold_hold,Andaman & Nicobar,1986,00-04,14863.0256698405
B,B-hold_hold,Andaman & Nicobar,1987,00-04,15141.248521422593
B,B-hold_hold,Andaman & Nicobar,1988,00-04,15375.468464911233
B,B-hold_hold,Andaman & Nicobar,1989,00-04,15585.15004862652
B,B-hold_hold,Andaman & Nicobar,1990,00-04,15759.021220496688
B,B-hold_hold,Andaman & Nicobar,1991,00-04,15902.320768179818
B,B-hold_hold,Andaman & Nicobar,1992,00-04,15876.261881565088
B,B-hold_hold,Andaman & Nicobar,1993,00-04,15851.179194131571
B,B-hold_hold,Andaman & Nicobar,1994,00-04,15796.43114645356
B,B-hold_hold,Andaman & Nicobar,1995,00-04,15730.163224642272
B,B-hold_hold,Andaman & Nicobar,1996,00-04,15666.736261571117
B,B-hold_hold,Andaman & Nicobar,1997,00-04,15595.928329996364
B,B-hold_hold,Andaman & Nicobar,1998,00-04,15522.370734344144
B,B-hold_hold,Andaman & Nicobar,1999,00-04,15457.782260666267
B,B-hold_hold,Andaman & Nicobar,2000,00-04,15390.664848028377
B,B-hold_hold,Andaman & Nicobar,2001,00-04,15354.982105644445
B,B-hold_hold,Andaman & Nicobar,2002,00-04,15347.986466010489
B,B-hold_hold,Andaman & Nicobar,2003,00-04,15325.529089696613
B,B-hold_hold,Andaman & Nicobar,2004,00-04,15270.21709789627
B,B-hold_hold,Andaman & Nicobar,2005,00-04,15191.525285444592
B,B-hold_hold,Andaman & Nicobar,2006,00-04,15034.422143310989
B,B-hold_hold,Andaman & Nicobar,2007,00-04,14821.581509405993
B,B-hold_hold,Andaman & Nicobar,2008,00-04,14592.11252272444
B,B-hold_hold,Andaman & Nicobar,2009,00-04,14391.964964599272
B,B-hold_hold,Andaman & Nicobar,2010,00-04,14231.017676914813
B,B-hold_hold,Andaman & Nicobar,2011,00-04,14086.613262665922
B,B-hold_hold,Andaman & Nicobar,2012,00-04,14027.377087162062
B,B-hold_hold,Andaman & Nicobar,2013,00-04,13979.052989724822
B,B-hold_hold,Andaman & Nicobar,2014,00-04,13897.72779179639
B,B-hold_hold,Andaman & Nicobar,2015,00-04,13710.9316431539
B,B-hold_hold,Andaman & Nicobar,2016,00-04,13566.44501554969
B,B-hold_hold,Andaman & Nicobar,2017,00-04,13456.161256115554
