track,variant,unit,year,band,females
C,B-taper_hold_A1-blend,Andaman & Nicobar,1950,00-04,7458.092308598795
C,B-taper_hold_A1-blend,Andaman & Nicobar,1951,00-04,7775.935903475088
C,B-taper_hold_A1-blend,Andaman & Nicobar,1952,00-04,8107.013770572772
C,B-taper_hold_A1-blend,Andaman & Nicobar,1953,00-04,8468.048786447267
C,B-taper_hold_A1-blend,Andaman & Nicobar,1954,00-04,8868.523936199339
C,B-taper_hold_A1-blend,Andaman & Nicobar,1955,00-04,9160.214798786023
C,B-taper_hold_A1-blend,Andaman & Nicobar,1956,00-04,9437.649479577614
C,B-taper_hold_A1-blend,Andaman & Nicobar,1957,00-04,9705.461578815715
C,B-taper_hold_A1-blend,Andaman & Nicobar,1958,00-04,9953.531433306858
C,B-taper_hold_A1-blend,Andaman & Nicobar,1959,00-04,10181.01178320644
C,B-taper_hold_A1-blend,Andaman & Nicobar,1960,00-04,10388.79619323592
C,B-taper_hold_A1-blend,Andaman & Nicobar,1961,00-04,10604.712255456043
C,B-taper_hold_A1-blend,Andaman & Nicobar,1962,00-04,10819.749939199906
C,B-taper_hold_A1-blend,Andaman & Nicobar,1963,00-04,11031.985076714138
C,B-taper_hold_A1-blend,Andaman & Nicobar,1964,00-04,11250.325629739888
C,B-taper_hold_A1-blend,Andaman & Nicobar,1965,00-04,11472.82800816675
C,B-taper_hold_A1-blend,Andaman & Nicobar,1966,00-04,11628.500045287663
C,B-taper_hold_A1-blend,Andaman & Nicobar,1967,00-04,11764.156330908378
C,B-taper_hold_A1-blend,Andaman & Nicobar,1968,00-04,11887.882452740167
C,B-taper_hold_A1-blend,Andaman & Nicobar,1969,00-04,12039.438787367444
C,B-taper_hold_A1-blend,Andaman & Nicobar,1970,00-04,12174.099905755991
C,B-taper_hold_A1-blend,Andaman & Nicobar,1971,00-04,12321.902823502629
C,B-taper_hold_A1-blend,Andaman & Nicobar,1972,00-04,12477.861739383507
C,B-taper_hold_A1-blend,Andaman & Nicobar,1973,00-04,12626.732641873692
C,B-taper_hold_A1-blend,Andaman & Nicobar,1974,00-04,12777.287059621716
C,B-taper_hold_A1-blend,Andaman & Nicobar,1975,00-04,12941.731727146876
C,B-taper_hold_A1-blend,Andaman & Nicobar,1976,00-04,13082.891541107849
C,B-taper_hold_A1-blend,Andaman & Nicobar,1977,00-04,13228.046951432418
C,B-taper_hold_A1-blend,Andaman & Nicobar,1978,00-04,13347.216347886224
C,B-taper_hold_A1-blend,Andaman & Nicobar,1979,00-04,13448.529093497094
