,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
00-04,51.74959469708314,48.9277221152702,46.757813224759545,12.672165526065102,9.379980122001061,6.443197160248419,106.68862766008225,52.55753616896606,45.99865707783442,63.76328004353787,18.672079512465057,6.047758408208147
05-09,47.968598745737665,41.54436854116932,38.39944624457409,8.674710104049241,8.249429136253863,8.123890420625708,61.36973316077004,41.97200235284229,38.22826162369647,31.0251664044989,8.891333141913131,4.248005966756342
10-14,43.95269361532546,34.625258922680764,30.568300685931337,7.844520006051542,7.155054109787456,10.430704131823989,37.22972295914653,33.32550218572686,32.14561199725171,7.902679908372572,1.1680216701054815,11.785186050153541
15-19,39.62346660042749,28.190505649078965,23.55585733556584,6.87914690622595,6.004489782332453,12.205129913761663,28.64542025308515,26.57808795570808,27.63554526142504,13.440728318462446,6.457331071068598,17.686442675132568
20-24,35.00719519839086,22.346048915065737,17.54093800379579,5.809179992869262,4.868997533177551,14.690247316765847,28.10543723258345,21.602598875234186,25.646826998845807,30.31465209282975,14.03739743114886,25.147029759061756
25-29,30.10902385306048,17.295214213326116,12.825306759315804,4.5858777856013315,3.7181436471205567,17.568044406825887,34.43334591463305,18.410440229156155,25.354160375391544,41.77660167470804,18.91282938638155,29.81967361801758
30-34,25.28638176540468,13.358220110931462,9.904659121005318,3.2750451715199214,2.634263713871574,20.20718978990543,41.83198750595019,14.510311882818922,23.600792633196708,47.337125793180114,19.040172561391028,29.233442571524332
35-39,20.811487841670452,10.60202954330078,9.66030626120125,2.033608576542944,1.749944014038263,22.597572106214994,47.41637427965032,10.807298827901407,22.378909242861656,51.58357968019718,19.798865289936103,28.031525660638465
40-44,16.724794129174228,9.056077662355857,11.469560120522125,1.077757470592445,1.075362749736262,24.65732815151197,51.891797998510455,8.115849846001455,20.83530018134668,55.06720135334052,21.142109436517536,27.403015029508754
45-49,13.107035303489813,8.670600814487127,13.636338057492404,1.6273839545274753,0.6159508222344581,26.36878222396228,54.89016087412625,7.796999613093113,18.083455434496493,57.35894055903887,23.036673733712277,26.748344801029123
50-54,10.225878119258814,9.17764086175436,16.592957399488586,3.2827901538327633,1.0934096326651082,27.767656216328863,57.11683314284234,8.550353804414488,15.283126361060031,59.055184408601725,24.948791663883345,26.602430672777274
55-59,9.01298214508636,10.218947050759057,19.805258365729404,5.213967217871019,1.7153009431206165,28.810736073450833,57.0417879562219,10.121856669071637,9.479279304154574,58.65430512791555,26.517515136775998,25.634161935630264
60-64,10.594402233949964,11.457652959461605,22.58628185746237,7.2664793241751795,2.2523175188146287,29.512220010395158,54.81802872309224,12.407874691239172,8.838341972438323,56.24860300623749,27.811673009954653,24.9110697068511
65-69,15.17574143020671,12.782013525684023,24.854063596966988,9.430440889694978,2.7432733995410055,29.937101086651644,50.12774327029267,14.910820238080724,16.239376496668275,51.54777144837637,28.859533751516555,25.548432500151915
70-74,20.809019702424713,13.94541758950569,26.731578255968106,11.816193539030001,3.2222680435509843,30.118562228686365,45.2973148961855,17.368641105023173,21.14414146282347,46.85133887537186,29.724072522777444,26.151015597041475
75+,27.943450309256722,15.648625408319475,29.203984601149198,16.720178614112697,4.277293051810623,28.44356567975663,65.32013403290222,21.527292386484728,41.90718050375648,62.358839759046866,30.931725705411598,31.723101980302307
