experiment,Λ,μ,k,params,at bound,mean band MAPE %,worst band,worst band MAPE %,max APE %,total MAPE %,cost,converged
E1,const,scalar,fit,17,0,26.13135910562172,00-04,51.74959469708314,224.3720858447792,22.996669978813568,516.115300324715,True
E2,const,vector,fit,32,11,19.24039649269691,00-04,48.9277221152702,193.14931669968104,13.59581965548908,303.5658752723637,True
E3,const,fixed,fit,16,0,22.13079061818301,00-04,46.757813224759545,175.07777404934163,9.781772875663004,469.2162687173101,True
E4,time,scalar,fit,17,1,6.763090327047616,75+,16.720178614112697,30.354239527541278,2.1484498485711625,44.39295979976692,True
E5,time,vector,fit,32,0,3.797217388753529,00-04,9.379980122001061,19.75558060724114,2.8821878112952244,12.247890365554559,True
E6,time,fixed,fit,16,0,21.117620432307227,70-74,30.118562228686365,89.976336968394,17.7398669331691,613.0670369394046,True
E7,const,scalar,fixed,2,0,51.38902811625466,00-04,106.68862766008225,366.45655463015675,26.347253188716873,2751.927348844361,True
E8,const,vector,fixed,17,8,20.03521667698515,00-04,52.55753616896606,215.83391689267643,13.286118715711941,351.9015974957443,True
E9,const,fixed,fixed,1,0,24.549935432952978,00-04,45.99865707783442,167.17959804163493,16.20653779077589,920.7848310741255,True
E10,time,scalar,fixed,2,0,45.89287490335725,00-04,63.76328004353787,178.74786645617755,23.818717502809992,2522.6576416754474,True
E11,time,vector,fixed,17,3,19.99688281405995,75+,30.931725705411598,57.147478914469175,13.480863045076134,479.6182709088448,True
E12,time,fixed,fixed,1,0,22.92003980829906,75+,31.723101980302307,143.6813373229906,18.410667383513214,827.4118895425573,True
