,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
00-04,13.71182057560298,13.472227601120924,14.089488801468699,14.515551134555594,13.608587271269231,14.940810868372512,21.14765914454082,14.858822444953853,16.36332477054781,23.793946860128482,15.29985073687114,19.748534157668562
05-09,17.330513276376802,16.82651484058258,18.231948401004274,14.557129740149998,11.867355832394487,15.822254917518443,19.523711127187813,17.8035474020183,18.747633468964132,20.09790248594613,15.219937572306065,19.011632146364086
10-14,16.882840197361404,16.23683824215044,18.17646619281709,12.034712569670083,6.8534627451999395,14.4011793970884,17.820923682395474,17.857140253113638,18.607470449847234,17.357345596182334,14.452833194094634,17.91199794777735
15-19,14.873780604632577,14.107215476987227,16.513646537727663,5.487617512283634,2.1704003888680323,8.750790993837057,16.827214837375227,18.129672508915565,18.747940207312823,12.979626510331167,10.747623641607234,13.977305550134613
20-24,12.590115593312973,11.897744043974884,14.639756991068905,5.434663956485935,0.9860355816004885,9.230459891213105,15.411902249782438,16.58378223018933,16.782061101968726,13.823886471074369,11.870120938768101,14.708521756397486
25-29,10.933886257515054,10.45918656900082,13.426394733414025,5.636390335841365,2.0705302857583017,9.596766830461915,16.46155386596722,15.887820067957273,15.753239102852161,15.709006810220984,12.549937492971546,14.962871210492501
30-34,10.553435291121763,10.33737575325729,13.789110307858166,4.994228766685754,3.7588787890572437,8.386244030829321,19.478464308554848,17.60954165946192,17.163256846649833,18.16103455248073,11.730012903750909,13.7738806375409
35-39,9.643183846843511,9.93189125324172,12.999731371076333,7.284417079903727,5.327693899061539,10.135989089228836,21.949720618816194,17.693634876844886,17.10529235267878,21.805595738648535,12.842427050969885,14.397661720900878
40-44,8.99572643731158,9.716149878753688,13.350817801303146,9.632320143404892,6.2447937672378595,9.704250317616383,22.650699502448827,20.56310783038446,19.48519894484765,22.85335530973864,11.115691905531172,12.464924497167594
45-49,7.39455077056853,8.531184090298428,11.961760556278573,11.280521880423246,6.217616213532631,11.377238490399908,23.289450387918595,21.306993988659404,19.843783694641616,25.07554289308639,10.826427363692117,11.669486151791636
50-54,9.177757018207279,11.194341998228378,14.729362825685547,17.194103527613485,10.07609179213919,18.114592208116637,24.681204176829375,27.9442954831596,25.728347174274433,24.40009334863767,12.924629325991074,12.740177463600693
55-59,10.654959036048888,13.335320953203349,16.064760255819543,21.32909776871948,13.39234298853413,25.90446528459553,27.495834101743736,33.238273726441896,29.504926318869384,26.511283554690074,17.878141353516774,17.310618888144592
60-64,9.062232008239516,9.128825904789466,8.942170222895712,15.192172301282369,9.541107427384327,24.254977687555126,26.01063133616145,28.531319248011563,22.641145227417965,29.736294169935416,16.675456675437765,18.562907118257975
65-69,13.274328357266517,16.162161483243256,15.001369266798179,24.197172620195754,17.256854990062273,42.10781781870295,32.889527852014304,42.91141674186931,32.23210844498538,34.09416511157239,27.24529788796127,26.639985592927083
70-74,15.330440027947224,21.50173585726372,17.72368438659235,29.787169463021684,21.51689620916314,59.00275467075808,41.80602963895872,55.26502089475039,39.14173405720327,38.84611583121069,39.83162301625485,32.112010387544515
75+,41.189086819033605,36.91257462925381,58.022051002223385,60.99136486629925,36.470114592391816,148.04948807943492,294.53322497805766,127.66899533995998,74.31106388276288,282.28921705827304,114.21275022787565,65.15207076816165
