experiment,Λ,μ,k,params,at bound,mean band MAPE %,worst band,worst band MAPE %,max APE %,total MAPE %,cost,converged
E1,const,scalar,fit,17,0,13.849916007336887,75+,41.189086819033605,88.07248723522851,9.873952155793482,238.54891928488283,True
E2,const,vector,fit,32,12,14.359455535959373,75+,36.91257462925381,79.42202192594708,8.763507742906013,223.78670125124023,True
E3,const,fixed,fit,16,0,17.353907478376975,75+,58.022051002223385,83.03704681594853,10.669770188313699,345.2832492592287,True
E4,time,scalar,fit,17,0,16.221789604158516,75+,60.99136486629925,134.36139986749433,2.584440327753112,154.42433555719174,True
E5,time,vector,fit,32,8,10.459922673353415,75+,36.470114592391816,78.00129775427274,2.841908013642504,103.64160111603051,True
E6,time,fixed,fit,16,0,26.86125503598307,75+,148.04948807943492,366.6663524368335,3.197545624766869,216.9775871407064,True
E7,const,scalar,fixed,2,0,40.12360948804704,75+,294.53322497805766,539.7709017037923,12.172952830302993,983.5565091345998,True
E8,const,vector,fixed,17,10,30.86583654354321,75+,127.66899533995998,254.0441964596983,12.141693206839479,361.79999735028645,True
E9,const,fixed,fixed,1,0,25.134907877864002,75+,74.31106388276288,139.72656233220707,14.93708947483055,443.60393363595557,True
E10,time,scalar,fixed,2,0,39.22090076888481,75+,282.28921705827304,572.1333342152614,9.383340354070082,841.4105092647923,True
E11,time,vector,fixed,17,1,22.213922580475014,75+,114.21275022787565,279.4712286963662,4.333254532001879,231.44717487167037,True
E12,time,fixed,fixed,1,0,20.32153662467951,75+,65.15207076816165,139.2701582461591,9.178886742874909,425.01249697777166,True
