,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
00-04,13.621018986205197,13.341505697297297,13.977283782725165,14.011727631159326,13.058113104808227,14.458397450967658,21.031535912515114,14.546220194452369,15.92696568315091,23.240375913695164,14.628926274835145,18.859075664571147
05-09,17.157740869638776,16.56753127897762,18.00403472428281,13.85495379482529,11.063356103418634,15.160895782008543,19.22018107064925,17.51024698696286,18.355406597287455,19.172450363370444,14.309397876948038,17.91233977712122
10-14,16.743995779793735,15.982463214631887,17.95593971454328,11.470558162011184,6.101579968355476,13.945683259985007,17.75093504511477,17.719746646074807,18.42032636849244,16.6649349933424,13.805880085858496,17.153397761104067
15-19,14.767512765372373,13.87674194518737,16.293036010797756,5.321534378752367,2.106066900170179,8.735143456773343,16.89414708158974,18.188632675664444,18.80474752366314,12.735703552249513,10.416633487621208,13.83677208426549
20-24,12.320261040575842,11.524644761954164,14.216466347618873,5.573285206561406,0.978612778171536,9.482341256148962,15.236251782900403,16.53538326555614,16.73810977413075,13.777385779870809,11.890037613499283,14.905022756663323
25-29,10.597448127458302,10.054552251583157,12.906157564981092,5.7230092938879595,2.0564158275710662,9.800194339160562,16.16747071721261,15.683491843155169,15.54720636108145,15.510757809540653,12.524905029070965,15.084607850021607
30-34,10.02544525272634,9.726150626338155,13.107928448887986,4.633733226750666,3.440423523988694,8.34397588103794,19.176748852346947,17.128753714219012,16.670912263621243,18.286515349331218,11.487626430377675,13.66702752689334
35-39,9.161693773632335,9.502577744875946,12.266413143908402,6.82676400187089,4.93774447222195,9.946075083765141,21.55917136349993,17.148931685540983,16.511192962580573,21.817063345415324,12.649016166812109,14.317328793270724
40-44,8.216324193426546,8.928680039999696,12.428743085529335,8.703939730429756,5.4702440210910845,8.716785090538202,22.074669638660758,19.81476859892354,18.641968199541907,22.971957348089663,10.717065442115729,12.194154468380773
45-49,6.8510676807824895,7.734361010136895,11.056553844914957,10.180177373972514,5.307685104523251,10.236388432960739,22.96264856186161,20.4519523114927,18.851503293235734,25.236153022087,10.171069541016745,11.333270075310047
50-54,8.205942247365442,10.323249263047988,13.794832000457705,15.86404820096594,8.939827699535327,16.60237135074243,23.709441056329442,26.279245769604454,24.633580168761164,24.449051064105845,11.503136952864132,11.848247321869946
55-59,9.648294098818743,12.524526628998263,15.30543396973658,19.95089206143033,12.171488813444242,24.276569751320938,26.447015048648478,31.58142478164506,28.429463243747158,26.14597743994278,16.273257978409077,15.796474459028309
60-64,9.026443990210417,8.429536024507529,8.461808612520265,13.89698983750113,8.540460052541947,22.712105365645673,25.612976898207997,26.9946396731021,21.63921610216216,29.858117055501072,15.272047231977067,17.381438187798587
65-69,12.257098491348351,15.378869429245766,14.452954101553392,22.2941673875053,15.712329859193112,39.79813773841736,31.516837091474468,40.73382710956565,31.113666471647885,33.26926749182585,25.143188556505848,24.944723409566265
70-74,14.077457108286707,20.08663539351879,17.417798367583913,27.562079572928624,19.999934892401434,56.21744502645327,40.0544917907378,52.75001297943687,38.03912732990296,37.07784082796118,37.36266279502538,30.3163402066418
75+,39.288723246180496,34.80660371128228,54.5992278899724,57.550876677243636,34.301953078038046,143.2428104806943,286.7580289580736,122.57247405307128,72.93560380885975,273.3010985406389,108.97834390296079,62.96611589580649
