experiment,Λ,μ,k,params,at bound,mean band MAPE %,worst band,worst band MAPE %,max APE %,total MAPE %,cost,converged
E1,const,scalar,fit,17,0,13.24790422823888,75+,39.288723246180496,82.08864116622,9.808666123848083,229.25380323233978,True
E2,const,vector,fit,32,13,13.674289313848925,75+,34.80660371128228,72.97756193854073,8.578012347337188,213.38442378218807,True
E3,const,fixed,fit,16,0,16.640288225625866,75+,54.5992278899724,81.28847618449072,10.257241071170215,329.7931909988,True
E4,time,scalar,fit,17,0,15.213671033612268,75+,57.550876677243636,123.36020366219842,2.4256797044448444,142.9546287126982,True
E5,time,vector,fit,32,2,9.636639762467137,75+,34.301953078038046,71.65234456272756,2.6031348081839347,93.77073555087007,True
E6,time,fixed,fit,16,0,25.729707484163754,75+,143.2428104806943,350.4783654324761,2.8788950217407017,206.3189512664267,True
E7,const,scalar,fixed,2,0,39.13578442936394,75+,286.7580289580736,513.8851583435832,12.014248972095425,965.2813560957642,True
E8,const,vector,fixed,17,9,29.727484518029215,75+,122.57247405307128,238.2650358727846,11.714948675944942,346.9021416558264,True
E9,const,fixed,fixed,1,0,24.45368725949167,75+,72.93560380885975,136.19480777829236,14.231166276583059,417.8367835354784,True
E10,time,scalar,fixed,2,0,38.344665618560484,75+,273.3010985406389,543.8565580579417,9.455697107969396,817.0278124122393,True
E11,time,vector,fixed,17,5,21.070824710368605,75+,108.97834390296079,264.9685121251199,4.564115216769469,215.5118831150162,True
E12,time,fixed,fixed,1,0,19.532271014894572,75+,62.96611589580649,136.18304900413682,8.63129161597851,393.7711892391607,True
