scheme,year,band,females
S0,1950,00-04,12084545.13035202
S0,1950,05-09,12510734.035890117
S0,1950,10-14,12916479.067334838
S0,1950,15-19,13170079.443757921
S0,1950,20-24,13793015.84825787
S0,1950,25-29,14026939.130444191
S0,1950,30-34,13238219.977077007
S0,1950,35-39,12321652.866708383
S0,1950,40-44,11378309.507449776
S0,1950,45-49,10288087.316739574
S0,1950,50-54,9208367.002163097
S0,1950,55-59,7815988.436399877
S0,1950,60-64,6291495.556088209
S0,1950,65-69,4789143.956427038
S0,1950,70-74,3640156.3865312636
S0,1950,75+,5083615.136902571
S0,1950,0-8,
S0,1950,9-14,
S0,1950,0-17,
S0,1950,18-29,
S0,1950,30-65,
S0,1950,66+,
S0,1950,15-26,
S0,1950,27-45,
S0,1950,46-65,
S0,1951,00-04,12337893.02382263
S0,1951,05-09,12773016.81770563
S0,1951,10-14,13187268.139448732
S0,1951,15-19,13446185.151331164
S0,1951,20-24,14082181.18067789
S0,1951,25-29,14321008.575525165
S0,1951,30-34,13515754.225020647
S0,1951,35-39,12579971.633710727
S0,1951,40-44,11616851.439634606
S0,1951,45-49,10503773.155256674
S0,1951,50-54,9401416.914852247
S0,1951,55-59,7979847.6619142
S0,1951,60-64,6423394.368060142
S0,1951,65-69,4889546.538386136
S0,1951,70-74,3716470.880993694
S0,1951,75+,5190191.195186734
S0,1951,0-8,
S0,1951,9-14,
S0,1951,0-17,
S0,1951,18-29,
S0,1951,30-65,
S0,1951,66+,
S0,1951,15-26,
S0,1951,27-45,
S0,1951,46-65,
S0,1952,00-04,12605221.03635909
S0,1952,05-09,13049772.75920868
S0,1952,10-14,13472999.761184897
S0,1952,15-19,13737526.78849417
S0,1952,20-24,14387303.092493787
S0,1952,25-29,14631305.216338992
S0,1952,30-34,13808603.231567338
S0,1952,35-39,12852544.820081487
S0,1952,40-44,11868556.475599214
S0,1952,45-49,10731360.863814935
S0,1952,50-54,9605119.613037527
S0,1952,55-59,8152748.886757404
S0,1952,60-64,6562571.555513114
S0,1952,65-69,4995489.486326039
S0,1952,70-74,3796996.5244197845
S0,1952,75+,5302648.28119117
S0,1952,0-8,
S0,1952,9-14,
S0,1952,0-17,
S0,1952,18-29,
S0,1952,30-65,
S0,1952,66+,
S0,1952,15-26,
S0,1952,27-45,
S0,1952,46-65,
S0,1953,00-04,12886248.34454565
S0,1953,05-09,13340711.13310855
S0,1953,10-14,13773373.77645703
S0,1953,15-19,14043798.30593726
S0,1953,20-24,14708061.058457673
S0,1953,25-29,14957503.091675222
S0,1953,30-34,14116459.363942206
S0,1953,35-39,13139086.092441276
S0,1953,40-44,12133160.203592345
S0,1953,45-49,10970611.365494952
S0,1953,50-54,9819261.11058651
S0,1953,55-59,8334510.481207639
S0,1953,60-64,6708880.915238559
S0,1953,65-69,5106861.509027362
S0,1953,70-74,3881648.7260252535
S0,1953,75+,5420868.260707974
S0,1953,0-8,
S0,1953,9-14,
S0,1953,0-17,
S0,1953,18-29,
S0,1953,30-65,
S0,1953,66+,
S0,1953,15-26,
S0,1953,27-45,
S0,1953,46-65,
S0,1954,00-04,13172071.4031945
S0,1954,05-09,13636614.390492992
S0,1954,10-14,14078873.69508674
S0,1954,15-19,14355296.368020602
