scheme,year,band,females
S0,1950,00-04,12084545.13035202
S0,1950,05-09,12510734.03589012
S0,1950,10-14,12916479.06733484
S0,1950,15-19,13170079.443757916
S0,1950,20-24,13793015.848257866
S0,1950,25-29,14026939.130444188
S0,1950,30-34,13238219.977077007
S0,1950,35-39,12321652.866708392
S0,1950,40-44,11378309.50744978
S0,1950,45-49,10288087.316739578
S0,1950,50-54,9208367.002163108
S0,1950,55-59,7815988.436399867
S0,1950,60-64,6291495.556088196
S0,1950,65-69,4789143.956427045
S0,1950,70-74,3640156.3865312515
S0,1950,75+,5083615.136902595
S0,1950,0-8,
S0,1950,9-14,
S0,1950,0-17,
S0,1950,18-29,
S0,1950,30-65,
S0,1950,66+,
S0,1950,15-26,
S0,1950,27-45,
S0,1950,46-65,
S0,1951,00-04,12337893.023822628
S0,1951,05-09,12773016.81770563
S0,1951,10-14,13187268.139448732
S0,1951,15-19,13446185.151331162
S0,1951,20-24,14082181.180677889
S0,1951,25-29,14321008.575525165
S0,1951,30-34,13515754.22502064
S0,1951,35-39,12579971.63371073
S0,1951,40-44,11616851.439634608
S0,1951,45-49,10503773.155256677
S0,1951,50-54,9401416.914852237
S0,1951,55-59,7979847.661914205
S0,1951,60-64,6423394.36806013
S0,1951,65-69,4889546.538386121
S0,1951,70-74,3716470.880993684
S0,1951,75+,5190191.195186722
S0,1951,0-8,
S0,1951,9-14,
S0,1951,0-17,
S0,1951,18-29,
S0,1951,30-65,
S0,1951,66+,
S0,1951,15-26,
S0,1951,27-45,
S0,1951,46-65,
S0,1952,00-04,12605221.036359094
S0,1952,05-09,13049772.759208683
S0,1952,10-14,13472999.7611849
S0,1952,15-19,13737526.788494172
S0,1952,20-24,14387303.092493791
S0,1952,25-29,14631305.216339001
S0,1952,30-34,13808603.23156734
S0,1952,35-39,12852544.82008149
S0,1952,40-44,11868556.475599218
S0,1952,45-49,10731360.863814928
S0,1952,50-54,9605119.613037523
S0,1952,55-59,8152748.886757396
S0,1952,60-64,6562571.555513109
S0,1952,65-69,4995489.486326051
S0,1952,70-74,3796996.52441978
S0,1952,75+,5302648.281191153
S0,1952,0-8,
S0,1952,9-14,
S0,1952,0-17,
S0,1952,18-29,
S0,1952,30-65,
S0,1952,66+,
S0,1952,15-26,
S0,1952,27-45,
S0,1952,46-65,
S0,1953,00-04,12886248.344545651
S0,1953,05-09,13340711.133108553
S0,1953,10-14,13773373.77645703
S0,1953,15-19,14043798.30593726
S0,1953,20-24,14708061.05845768
S0,1953,25-29,14957503.09167522
S0,1953,30-34,14116459.363942202
S0,1953,35-39,13139086.092441272
S0,1953,40-44,12133160.203592338
S0,1953,45-49,10970611.365494952
S0,1953,50-54,9819261.110586505
S0,1953,55-59,8334510.481207643
S0,1953,60-64,6708880.915238563
S0,1953,65-69,5106861.509027366
S0,1953,70-74,3881648.7260252545
S0,1953,75+,5420868.260707964
S0,1953,0-8,
S0,1953,9-14,
S0,1953,0-17,
S0,1953,18-29,
S0,1953,30-65,
S0,1953,66+,
S0,1953,15-26,
S0,1953,27-45,
S0,1953,46-65,
S0,1954,00-04,13172071.403194498
S0,1954,05-09,13636614.39049299
S0,1954,10-14,14078873.69508674
S0,1954,15-19,14355296.368020598
S0,1954,20-24,15034292.781308329
S0,1954,25-29,15289267.5563281
S0,1954,30-34,14429569.082520762
S0,1954,35-39,13430517.21144355
S0,1954,40-44,12402279.41251517
S0,1954,45-49,11213944.69354313
S0,1954,50-54,10037056.947610512
S0,1954,55-59,8519373.849845735
S0,1954,60-64,6857687.054312865
S0,1954,65-69,5220134.103003419
S0,1954,70-74,3967745.523309357
S0,1954,75+,5541105.672356475
S0,1954,0-8,
S0,1954,9-14,
S0,1954,0-17,
S0,1954,18-29,
S0,1954,30-65,
S0,1954,66+,
S0,1954,15-26,
S0,1954,27-45,
S0,1954,46-65,
S0,1955,00-04,13478850.573893553
S0,1955,05-09,13954212.824771412
S0,1955,10-14,14406772.403220674
S0,1955,15-19,14689632.994365672
S0,1955,20-24,15384443.31802481
S0,1955,25-29,15645356.48706292
S0,1955,30-34,14765635.52956468
S0,1955,35-39,13743315.616953762
S0,1955,40-44,12691130.03262543
S0,1955,45-49,11475118.851201879
S0,1955,50-54,10270821.244234381
S0,1955,55-59,8717791.119577277
S0,1955,60-64,7017403.433236036
S0,1955,65-69,5341711.671332483
S0,1955,70-74,4060154.8068553377
S0,1955,75+,5670158.708199343
S0,1955,0-8,
S0,1955,9-14,
S0,1955,0-17,
S0,1955,18-29,
S0,1955,30-65,
S0,1955,66+,
S0,1955,15-26,
S0,1955,27-45,
S0,1955,46-65,
S0,1956,00-04,13793843.23131214
S0,1956,05-09,14280314.413016079
S0,1956,10-14,14743450.03750684
S0,1956,15-19,15032920.911093598
S0,1956,20-24,15743968.53548187
S0,1956,25-29,16010979.088864459
S0,1956,30-34,15110699.57997713
S0,1956,35-39,14064488.663883397
S0,1956,40-44,12987714.133228509
S0,1956,45-49,11743285.49948679
S0,1956,50-54,10510844.17941394
S0,1956,55-59,8921520.671776224
S0,1956,60-64,7181395.944577813
S0,1956,65-69,5466544.270766137
S0,1956,70-74,4155038.1906521195
S0,1956,75+,5802666.917982468
S0,1956,0-8,
S0,1956,9-14,
S0,1956,0-17,
S0,1956,18-29,
S0,1956,30-65,
S0,1956,66+,
S0,1956,15-26,
S0,1956,27-45,
S0,1956,46-65,
S0,1957,00-04,14119583.239402357
S0,1957,05-09,14617542.381641058
S0,1957,10-14,15091614.900189461
S0,1957,15-19,15387921.59488298
S0,1957,20-24,16115760.5264535
S0,1957,25-29,16389076.50308619
S0,1957,30-34,15467536.998011379
S0,1957,35-39,14396619.932474198
S0,1957,40-44,13294417.496162761
S0,1957,45-49,12020601.824564733
S0,1957,50-54,10759056.54565755
S0,1957,55-59,9132201.347717552
S0,1957,60-64,7350983.77690693
S0,1957,65-69,5595636.079707593
S0,1957,70-74,4253158.935620848
S0,1957,75+,5939696.224254252
S0,1957,0-8,
S0,1957,9-14,
S0,1957,0-17,
S0,1957,18-29,
S0,1957,30-65,
S0,1957,66+,
S0,1957,15-26,
S0,1957,27-45,
S0,1957,46-65,
S0,1958,00-04,14437916.99214083
S0,1958,05-09,14947102.89651348
S0,1958,10-14,15431863.64015612
S0,1958,15-19,15734850.731889987
S0,1958,20-24,16479099.191599369
S0,1958,25-29,16758577.22691677
S0,1958,30-34,15816261.107973602
S0,1958,35-39,14721199.62949137
S0,1958,40-44,13594147.434381858
S0,1958,45-49,12291612.88941755
S0,1958,50-54,11001625.37988113
S0,1958,55-59,9338091.838710915
S0,1958,60-64,7516715.740262063
S0,1958,65-69,5721792.7659220435
S0,1958,70-74,4349048.737891433
S0,1958,75+,6073609.935242322
S0,1958,0-8,
S0,1958,9-14,
S0,1958,0-17,
S0,1958,18-29,
S0,1958,30-65,
S0,1958,66+,
S0,1958,15-26,
S0,1958,27-45,
S0,1958,46-65,
S0,1959,00-04,14780374.65817149
S0,1959,05-09,15301638.109220851
S0,1959,10-14,15797897.051179886
S0,1959,15-19,16108070.792645082
S0,1959,20-24,16869972.32451146
S0,1959,25-29,17156079.390577115
S0,1959,30-34,16191412.168013394
S0,1959,35-39,15070376.568867821
S0,1959,40-44,13916591.45484473
S0,1959,45-49,12583161.667828837
S0,1959,50-54,11262576.523469822
S0,1959,55-59,9559585.087217994
S0,1959,60-64,7695007.174547718
S0,1959,65-69,5857509.836271968
S0,1959,70-74,4452205.244542813
S0,1959,75+,6217671.871873207
S0,1959,0-8,
S0,1959,9-14,
S0,1959,0-17,
S0,1959,18-29,
S0,1959,30-65,
S0,1959,66+,
S0,1959,15-26,
S0,1959,27-45,
S0,1959,46-65,
S0,1960,00-04,15126738.836768588
S0,1960,05-09,15660217.606524752
S0,1960,10-14,16168105.910037758
S0,1960,15-19,16485548.28140372
S0,1960,20-24,17265304.25907138
S0,1960,25-29,17558115.97513546
S0,1960,30-34,16570842.683517992
S0,1960,35-39,15423536.66948401
S0,1960,40-44,14242713.686493563
S0,1960,45-49,12878036.22656153
S0,1960,50-54,11526504.41140613
S0,1960,55-59,9783604.972575417
S0,1960,60-64,7875332.430229751
S0,1960,65-69,5994775.070069211
S0,1960,70-74,4556538.486976502
S0,1960,75+,6363377.164228365
S0,1960,0-8,
S0,1960,9-14,
S0,1960,0-17,
S0,1960,18-29,
S0,1960,30-65,
S0,1960,66+,
S0,1960,15-26,
S0,1960,27-45,
S0,1960,46-65,
S0,1961,00-04,15485055.376196418
S0,1961,05-09,16031170.991785638
S0,1961,10-14,16551089.963725891
S0,1961,15-19,16876051.79141375
S0,1961,20-24,17674278.337426044
S0,1961,25-29,17974026.068049237
S0,1961,30-34,16963366.615466136
S0,1961,35-39,15788883.64511332
S0,1961,40-44,14580089.76836264
S0,1961,45-49,13183086.33849388
S0,1961,50-54,11799539.942525078
S0,1961,55-59,10015355.352794921
S0,1961,60-64,8061880.36324388
S0,1961,65-69,6136777.0627614
S0,1961,70-74,4664472.068698335
S0,1961,75+,6514110.465646788
S0,1961,0-8,
S0,1961,9-14,
S0,1961,0-17,
S0,1961,18-29,
S0,1961,30-65,
S0,1961,66+,
S0,1961,15-26,
S0,1961,27-45,
S0,1961,46-65,
S0,1962,00-04,15855414.62140102
S0,1962,05-09,16414591.7961691
S0,1962,10-14,16946945.776789494
S0,1962,15-19,17279679.78315536
S0,1962,20-24,18096997.67717392
S0,1962,25-29,18403914.535744585
S0,1962,30-34,17369082.933761675
S0,1962,35-39,16166509.61333661
S0,1962,40-44,14928804.765528668
S0,1962,45-49,13498388.918121539
S0,1962,50-54,12081751.959253978
S0,1962,55-59,10254894.660779499
S0,1962,60-64,8254698.009272486
S0,1962,65-69,6283551.618340128
S0,1962,70-74,4776033.203784531
S0,1962,75+,6669909.781608222
S0,1962,0-8,
S0,1962,9-14,
S0,1962,0-17,
S0,1962,18-29,
S0,1962,30-65,
S0,1962,66+,
S0,1962,15-26,
S0,1962,27-45,
S0,1962,46-65,
S0,1963,00-04,16226515.550757352
S0,1963,05-09,16798780.44187889
S0,1963,10-14,17343594.33361935
S0,1963,15-19,17684116.083285496
S0,1963,20-24,18520563.55778443
S0,1963,25-29,18834663.90125098
S0,1963,30-34,17775611.74254388
S0,1963,35-39,16544891.818104653
S0,1963,40-44,15278218.10191591
S0,1963,45-49,13814322.925016988
S0,1963,50-54,12364529.13584576
S0,1963,55-59,10494913.67194618
S0,1963,60-64,8447901.793338913
S0,1963,65-69,6430620.105724685
S0,1963,70-74,4887817.752021373
S0,1963,75+,6826021.102427091
S0,1963,0-8,
S0,1963,9-14,
S0,1963,0-17,
S0,1963,18-29,
S0,1963,30-65,
S0,1963,66+,
S0,1963,15-26,
S0,1963,27-45,
S0,1963,46-65,
S0,1964,00-04,16609707.983762592
S0,1964,05-09,17195487.02555106
S0,1964,10-14,17753166.80707902
S0,1964,15-19,18101730.046449944
S0,1964,20-24,18957930.39653278
S0,1964,25-29,19279448.28287501
S0,1964,30-34,18195386.39413037
S0,1964,35-39,16935602.77078926
S0,1964,40-44,15639016.29966482
S0,1964,45-49,14140550.94331204
S0,1964,50-54,12656519.98179838
S0,1964,55-59,10742753.172149
S0,1964,60-64,8647400.695728209
S0,1964,65-69,6582480.4947488755
S0,1964,70-74,5003244.552718327
S0,1964,75+,6987218.965628354
S0,1964,0-8,
S0,1964,9-14,
S0,1964,0-17,
S0,1964,18-29,
S0,1964,30-65,
S0,1964,66+,
S0,1964,15-26,
S0,1964,27-45,
S0,1964,46-65,
S0,1965,00-04,16998461.271460153
S0,1965,05-09,17597950.58007464
S0,1965,10-14,18168682.96004462
S0,1965,15-19,18525404.3865076
S0,1965,20-24,19401644.26415757
S0,1965,25-29,19730687.33610158
S0,1965,30-34,18621252.77832934
S0,1965,35-39,17331983.68625873
S0,1965,40-44,16005050.368944902
S0,1965,45-49,14471513.15375194
S0,1965,50-54,12952748.17307928
S0,1965,55-59,10994189.297256019
S0,1965,60-64,8849794.708542211
S0,1965,65-69,6736544.668305706
S0,1965,70-74,5120346.416936864
S0,1965,75+,7150756.117961565
S0,1965,0-8,
S0,1965,9-14,
S0,1965,0-17,
S0,1965,18-29,
S0,1965,30-65,
S0,1965,66+,
S0,1965,15-26,
S0,1965,27-45,
S0,1965,46-65,
S0,1966,00-04,17372406.76147304
S0,1966,05-09,17985084.106327247
S0,1966,10-14,18568371.905054614
S0,1966,15-19,18932940.769381896
S0,1966,20-24,19828456.859459788
S0,1966,25-29,20164738.47910576
S0,1966,30-34,19030897.70934068
S0,1966,35-39,17713266.26407271
S0,1966,40-44,16357142.026378904
S0,1966,45-49,14789868.856135052
S0,1966,50-54,13237692.891618479
S0,1966,55-59,11236048.100732509
S0,1966,60-64,9044479.437115591
S0,1966,65-69,6884740.464192998
S0,1966,70-74,5232987.815434032
S0,1966,75+,7308064.062356708
S0,1966,0-8,
S0,1966,9-14,
S0,1966,0-17,
S0,1966,18-29,
S0,1966,30-65,
S0,1966,66+,
S0,1966,15-26,
S0,1966,27-45,
S0,1966,46-65,
S0,1967,00-04,17744096.455646258
S0,1967,05-09,18369882.28098117
S0,1967,10-14,18965649.75892054
S0,1967,15-19,19338018.722079713
S0,1967,20-24,20252694.742397457
S0,1967,25-29,20596171.24379347
S0,1967,30-34,19438071.49052992
S0,1967,35-39,18092248.78565993
S0,1967,40-44,16707109.719445808
S0,1967,45-49,15106304.10356376
S0,1967,50-54,13520918.70425352
S0,1967,55-59,11476447.910592977
S0,1967,60-64,9237989.745853746
S0,1967,65-69,7032042.280961009
S0,1967,70-74,5344949.713830541
S0,1967,75+,7464423.0593357375
S0,1967,0-8,
S0,1967,9-14,
S0,1967,0-17,
S0,1967,18-29,
S0,1967,30-65,
S0,1967,66+,
S0,1967,15-26,
S0,1967,27-45,
S0,1967,46-65,
S0,1968,00-04,18134822.25049637
S0,1968,05-09,18774387.90759791
S0,1968,10-14,19383274.2119563
S0,1968,15-19,19763842.7562816
S0,1968,20-24,20698659.98333604
S0,1968,25-29,21049699.85260236
S0,1968,30-34,19866098.69115268
S0,1968,35-39,18490640.910334915
S0,1968,40-44,17075001.0201438
S0,1968,45-49,15438945.5932483
S0,1968,50-54,13818649.936780829
S0,1968,55-59,11729159.80511694
S0,1968,60-64,9441410.691816714
S0,1968,65-69,7186888.165422695
S0,1968,70-74,5462645.744766268
S0,1968,75+,7628789.987809477
S0,1968,0-8,
S0,1968,9-14,
S0,1968,0-17,
S0,1968,18-29,
S0,1968,30-65,
S0,1968,66+,
S0,1968,15-26,
S0,1968,27-45,
S0,1968,46-65,
S0,1969,00-04,18527467.62167188
S0,1969,05-09,19180880.808754973
S0,1969,10-14,19802950.39032865
S0,1969,15-19,20191758.799113635
S0,1969,20-24,21146816.183586113
S0,1969,25-29,21505456.578397233
S0,1969,30-34,20296228.72422667
S0,1969,35-39,18890990.27484621
S0,1969,40-44,17444699.714774955
S0,1969,45-49,15773221.29991278
S0,1969,50-54,14117843.877511252
S0,1969,55-59,11983113.23469252
S0,1969,60-64,9645831.013907675
S0,1969,65-69,7342494.78413284
S0,1969,70-74,5580919.998377734
S0,1969,75+,7793964.425970927
S0,1969,0-8,
S0,1969,9-14,
S0,1969,0-17,
S0,1969,18-29,
S0,1969,30-65,
S0,1969,66+,
S0,1969,15-26,
S0,1969,27-45,
S0,1969,46-65,
S0,1970,00-04,18929082.23026723
S0,1970,05-09,19596659.26784193
S0,1970,10-14,20232213.2735487
S0,1970,15-19,20629449.77083996
S0,1970,20-24,21605209.66066737
S0,1970,25-29,21971624.20058725
S0,1970,30-34,20736184.26059514
S0,1970,35-39,19300484.859866366
S0,1970,40-44,17822843.4736024
S0,1970,45-49,16115132.8999224
S0,1970,50-54,14423872.335304637
S0,1970,55-59,12242867.747817418
S0,1970,60-64,9854920.92982776
S0,1970,65-69,7501655.940371681
S0,1970,70-74,5701896.002574263
S0,1970,75+,7962911.96031615
S0,1970,0-8,
S0,1970,9-14,
S0,1970,0-17,
S0,1970,18-29,
S0,1970,30-65,
S0,1970,66+,
S0,1970,15-26,
S0,1970,27-45,
S0,1970,46-65,
S0,1971,00-04,19366560.882121094
S0,1971,05-09,20049566.59705342
S0,1971,10-14,20699809.18122452
S0,1971,15-19,21106226.39236064
S0,1971,20-24,22104537.51398799
S0,1971,25-29,22479420.42743986
S0,1971,30-34,21215427.67158382
S0,1971,35-39,19746547.16726758
S0,1971,40-44,18234755.337061193
S0,1971,45-49,16487577.085527511
S0,1971,50-54,14757229.026717354
S0,1971,55-59,12525818.24758208
S0,1971,60-64,10082682.501681142
S0,1971,65-69,7675030.131869339
S0,1971,70-74,5833675.121385873
S0,1971,75+,8146946.450042223
S0,1971,0-8,
S0,1971,9-14,
S0,1971,0-17,
S0,1971,18-29,
S0,1971,30-65,
S0,1971,66+,
S0,1971,15-26,
S0,1971,27-45,
S0,1971,46-65,
S0,1972,00-04,19786688.59131645
S0,1972,05-09,20484511.063241843
S0,1972,10-14,21148859.658747226
S0,1972,15-19,21564093.465299115
S0,1972,20-24,22584061.40907191
S0,1972,25-29,22967076.82992165
S0,1972,30-34,21675663.698078893
S0,1972,35-39,20174918.093649305
S0,1972,40-44,18630330.268208105
S0,1972,45-49,16845249.67558036
S0,1972,50-54,15077364.380784772
S0,1972,55-59,12797546.5817032
S0,1972,60-64,10301410.76880915
S0,1972,65-69,7841528.089195594
S0,1972,70-74,5960227.717887426
S0,1972,75+,8323681.9050270775
S0,1972,0-8,
S0,1972,9-14,
S0,1972,0-17,
S0,1972,18-29,
S0,1972,30-65,
S0,1972,66+,
S0,1972,15-26,
S0,1972,27-45,
S0,1972,46-65,
S0,1973,00-04,20238050.92661961
S0,1973,05-09,20951791.715503465
S0,1973,10-14,21631295.041530777
S0,1973,15-19,22056000.91814416
S0,1973,20-24,23099235.77244174
S0,1973,25-29,23490988.316434342
S0,1973,30-34,22170116.22563847
S0,1973,35-39,20635136.49266407
S0,1973,40-44,19055314.43564569
S0,1973,45-49,17229513.6314841
S0,1973,50-54,15421300.374203812
S0,1973,55-59,13089476.70859686
S0,1973,60-64,10536400.5095163
S0,1973,65-69,8020404.428930266
S0,1973,70-74,6096188.936929648
S0,1973,75+,8513556.854826525
S0,1973,0-8,
S0,1973,9-14,
S0,1973,0-17,
S0,1973,18-29,
S0,1973,30-65,
S0,1973,66+,
S0,1973,15-26,
S0,1973,27-45,
S0,1973,46-65,
S0,1974,00-04,20694516.736262247
S0,1974,05-09,21424355.82770767
S0,1974,10-14,22119185.23612277
S0,1974,15-19,22553470.28182369
S0,1974,20-24,23620235.121500846
S0,1974,25-29,24020823.57774714
S0,1974,30-34,22670159.440743573
S0,1974,35-39,21100558.499969184
S0,1974,40-44,19485103.82412979
S0,1974,45-49,17618122.39218248
S0,1974,50-54,15769125.19125644
S0,1974,55-59,13384707.63796117
S0,1974,60-64,10774047.237787427
S0,1974,65-69,8201303.291898228
S0,1974,70-74,6233687.4455024265
S0,1974,75+,8705578.687203944
S0,1974,0-8,
S0,1974,9-14,
S0,1974,0-17,
S0,1974,18-29,
S0,1974,30-65,
S0,1974,66+,
S0,1974,15-26,
S0,1974,27-45,
S0,1974,46-65,
S0,1975,00-04,21182926.01004838
S0,1975,05-09,21929989.96280255
S0,1975,10-14,22641217.972407244
S0,1975,15-19,23085752.53717111
S0,1975,20-24,24177693.989923477
S0,1975,25-29,24587736.69530715
S0,1975,30-34,23205195.665564794
S0,1975,35-39,21598550.725870896
S0,1975,40-44,19944969.86157704
S0,1975,45-49,18033925.98270378
S0,1975,50-54,16141290.77893642
S0,1975,55-59,13700598.819215057
S0,1975,60-64,11028324.477222761
S0,1975,65-69,8394861.452059412
S0,1975,70-74,6380808.095724357
S0,1975,75+,8911038.20185185
S0,1975,0-8,
S0,1975,9-14,
S0,1975,0-17,
S0,1975,18-29,
S0,1975,30-65,
S0,1975,66+,
S0,1975,15-26,
S0,1975,27-45,
S0,1975,46-65,
S0,1976,00-04,21679039.54699384
S0,1976,05-09,22443600.069379114
S0,1976,10-14,23171485.354907446
S0,1976,15-19,23626431.11664737
S0,1976,20-24,24743946.323280822
S0,1976,25-29,25163592.41097201
S0,1976,30-34,23748671.656166535
S0,1976,35-39,22104398.37828798
S0,1976,40-44,20412089.91560563
S0,1976,45-49,18456288.5401733
S0,1976,50-54,16519326.979195269
S0,1976,55-59,14021472.929583348
S0,1976,60-64,11286612.73543515
S0,1976,65-69,8591472.83639662
S0,1976,70-74,6530249.455781904
S0,1976,75+,9119738.674963053
S0,1976,0-8,
S0,1976,9-14,
S0,1976,0-17,
S0,1976,18-29,
S0,1976,30-65,
S0,1976,66+,
S0,1976,15-26,
S0,1976,27-45,
S0,1976,46-65,
S0,1977,00-04,22187759.901818935
S0,1977,05-09,22970261.601874456
S0,1977,10-14,23715227.443943292
S0,1977,15-19,24180848.96319715
S0,1977,20-24,25324587.78233007
S0,1977,25-29,25754081.285363093
S0,1977,30-34,24305957.99928894
S0,1977,35-39,22623100.203699682
S0,1977,40-44,20891080.029631644
S0,1977,45-49,18889383.81796727
S0,1977,50-54,16906969.515854307
S0,1977,55-59,14350500.821637604
S0,1977,60-64,11551464.396556841
S0,1977,65-69,8793080.343054267
S0,1977,70-74,6683488.293371575
S0,1977,75+,9333742.468100788
S0,1977,0-8,
S0,1977,9-14,
S0,1977,0-17,
S0,1977,18-29,
S0,1977,30-65,
S0,1977,66+,
S0,1977,15-26,
S0,1977,27-45,
S0,1977,46-65,
S0,1978,00-04,22709476.36988107
S0,1978,05-09,23510377.58503016
S0,1978,10-14,24272860.335055046
S0,1978,15-19,24749430.341923393
S0,1978,20-24,25920062.69964443
S0,1978,25-29,26359655.186732166
S0,1978,30-34,24877481.1551356
S0,1978,35-39,23155053.13572697
S0,1978,40-44,21382306.748114794
S0,1978,45-49,19333543.23978308
S0,1978,50-54,17304515.03015937
S0,1978,55-59,14687934.28210037
S0,1978,60-64,11823082.136814754
S0,1978,65-69,8999838.251029864
S0,1978,70-74,6840641.873642048
S0,1978,75+,9553213.346450241
S0,1978,0-8,
S0,1978,9-14,
S0,1978,0-17,
S0,1978,18-29,
S0,1978,30-65,
S0,1978,66+,
S0,1978,15-26,
S0,1978,27-45,
S0,1978,46-65,
S0,1979,00-04,23223137.2011013
S0,1979,05-09,24042153.83103133
S0,1979,10-14,24821883.016719885
S0,1979,15-19,25309232.45953276
S0,1979,20-24,26506343.1023594
S0,1979,25-29,26955878.63871158
S0,1979,30-34,25440179.62694011
S0,1979,35-39,23678792.373344123
S0,1979,40-44,21865948.611042526
S0,1979,45-49,19770844.5552881
S0,1979,50-54,17695922.18677894
S0,1979,55-59,15020157.553538632
S0,1979,60-64,12090505.924975533
S0,1979,65-69,9203403.684313156
S0,1979,70-74,6995368.901851075
S0,1979,75+,9769295.453692045
S0,1979,0-8,
S0,1979,9-14,
S0,1979,0-17,
S0,1979,18-29,
S0,1979,30-65,
S0,1979,66+,
S0,1979,15-26,
S0,1979,27-45,
S0,1979,46-65,
S0,1980,00-04,23779188.44656567
S0,1980,05-09,24617815.485424727
S0,1980,10-14,25416214.38748592
S0,1980,15-19,25915232.8508237
S0,1980,20-24,27141006.92779957
S0,1980,25-29,27601306.074283514
S0,1980,30-34,26049315.39718076
S0,1980,35-39,24245753.75656609
S0,1980,40-44,22389503.54047099
S0,1980,45-49,20244234.633624665
S0,1980,50-54,18119630.6412565
S0,1980,55-59,15379797.90886151
S0,1980,60-64,12379999.14975646
S0,1980,65-69,9423768.574588666
S0,1980,70-74,7162864.944985703
S0,1980,75+,10003209.969947718
S0,1980,0-8,
S0,1980,9-14,
S0,1980,0-17,
S0,1980,18-29,
S0,1980,30-65,
S0,1980,66+,
S0,1980,15-26,
S0,1980,27-45,
S0,1980,46-65,
S0,1981,00-04,24343058.372785546
S0,1981,05-09,25201571.56409217
S0,1981,10-14,26018902.69889169
S0,1981,15-19,26529754.261779413
S0,1981,20-24,27784594.811730146
S0,1981,25-29,28255808.916323364
S0,1981,30-34,26667016.273898777
S0,1981,35-39,24820687.22885768
S0,1981,40-44,22920420.217372485
S0,1981,45-49,20724281.087476153
S0,1981,50-54,18549296.893987358
S0,1981,55-59,15744495.195803568
S0,1981,60-64,12673562.96177897
S0,1981,65-69,9647232.033100171
S0,1981,70-74,7332716.163294852
S0,1981,75+,10240413.57680719
S0,1981,0-8,
S0,1981,9-14,
S0,1981,0-17,
S0,1981,18-29,
S0,1981,30-65,
S0,1981,66+,
S0,1981,15-26,
S0,1981,27-45,
S0,1981,46-65,
S0,1982,00-04,24917139.96070327
S0,1982,05-09,25795899.441878896
S0,1982,10-14,26632505.67139063
S0,1982,15-19,27155404.630785454
S0,1982,20-24,28439838.046368264
S0,1982,25-29,28922164.77852337
S0,1982,30-34,27295903.6886643
S0,1982,35-39,25406032.723221757
S0,1982,40-44,23460951.7739513
S0,1982,45-49,21213021.16331035
S0,1982,50-54,18986744.38528378
S0,1982,55-59,16115797.13595233
S0,1982,60-64,12972443.20263676
S0,1982,65-69,9874742.405862719
S0,1982,70-74,7505643.380340034
S0,1982,75+,10481912.931451961
S0,1982,0-8,
S0,1982,9-14,
S0,1982,0-17,
S0,1982,18-29,
S0,1982,30-65,
S0,1982,66+,
S0,1982,15-26,
S0,1982,27-45,
S0,1982,46-65,
S0,1983,00-04,25504402.339689136
S0,1983,05-09,26403872.96123984
S0,1983,10-14,27260196.837535772
S0,1983,15-19,27795419.799097273
S0,1983,20-24,29110125.52620836
S0,1983,25-29,29603820.02948891
S0,1983,30-34,27939230.224617247
S0,1983,35-39,26004817.625548515
S0,1983,40-44,24013893.82001967
S0,1983,45-49,21712982.607259773
S0,1983,50-54,19434235.57787182
S0,1983,55-59,16495624.08961711
S0,1983,60-64,13278185.67020944
S0,1983,65-69,10107476.36835943
S0,1983,70-74,7682540.969481865
S0,1983,75+,10728957.059877418
S0,1983,0-8,
S0,1983,9-14,
S0,1983,0-17,
S0,1983,18-29,
S0,1983,30-65,
S0,1983,66+,
S0,1983,15-26,
S0,1983,27-45,
S0,1983,46-65,
S0,1984,00-04,26110992.51896498
S0,1984,05-09,27031855.91962546
S0,1984,10-14,27908546.383882247
S0,1984,15-19,28456498.95141068
