scheme,year,band,females
S0,1950,00-04,24694668.4621128
S0,1950,05-09,19654381.27507922
S0,1950,10-14,18596033.443592682
S0,1950,15-19,16659794.442496419
S0,1950,20-24,14592569.020874128
S0,1950,25-29,12832909.62088658
S0,1950,30-34,11443040.170457333
S0,1950,35-39,10003466.737376854
S0,1950,40-44,8735326.058504716
S0,1950,45-49,6882738.658426166
S0,1950,50-54,6051233.247535288
S0,1950,55-59,4206953.869285107
S0,1950,60-64,3752303.444847524
S0,1950,65-69,2063501.3948209882
S0,1950,70-74,1618193.7331982255
S0,1950,75+,1581319.8074493706
S0,1950,0-8,
S0,1950,9-14,
S0,1950,0-17,
S0,1950,18-29,
S0,1950,30-65,
S0,1950,66+,
S0,1950,15-26,
S0,1950,27-45,
S0,1950,46-65,
S0,1951,00-04,25729316.91172876
S0,1951,05-09,19942810.936049785
S0,1951,10-14,18745684.035750926
S0,1951,15-19,16945557.581927493
S0,1951,20-24,14874550.669146463
S0,1951,25-29,13035534.199210957
S0,1951,30-34,11615750.72224103
S0,1951,35-39,10142155.669537634
S0,1951,40-44,8963628.749274597
S0,1951,45-49,7034090.865024477
S0,1951,50-54,6235673.845482528
S0,1951,55-59,4315036.430062503
S0,1951,60-64,3846416.213875383
S0,1951,65-69,2176374.426279545
S0,1951,70-74,1606493.8780661225
S0,1951,75+,1584315.3378693163
S0,1951,0-8,
S0,1951,9-14,
S0,1951,0-17,
S0,1951,18-29,
S0,1951,30-65,
S0,1951,66+,
S0,1951,15-26,
S0,1951,27-45,
S0,1951,46-65,
S0,1952,00-04,26810428.80265086
S0,1952,05-09,20315893.967723466
S0,1952,10-14,18837094.266125545
S0,1952,15-19,17251250.68827966
S0,1952,20-24,15185982.648475334
S0,1952,25-29,13262512.308932513
S0,1952,30-34,11790818.86078383
S0,1952,35-39,10304559.468063459
S0,1952,40-44,9135622.548904747
S0,1952,45-49,7284132.335697055
S0,1952,50-54,6304240.340955526
S0,1952,55-59,4551113.91247198
S0,1952,60-64,3829732.471691251
S0,1952,65-69,2387986.3315110803
S0,1952,70-74,1552220.070352286
S0,1952,75+,1603752.8337098956
S0,1952,0-8,
S0,1952,9-14,
S0,1952,0-17,
S0,1952,18-29,
S0,1952,30-65,
S0,1952,66+,
S0,1952,15-26,
S0,1952,27-45,
S0,1952,46-65,
S0,1953,00-04,27991622.06043897
S0,1953,05-09,20735781.341607876
S0,1953,10-14,18897043.281958833
S0,1953,15-19,17562273.82781604
S0,1953,20-24,15513530.963840604
S0,1953,25-29,13507063.878482893
S0,1953,30-34,11964775.106636569
S0,1953,35-39,10488655.510559887
S0,1953,40-44,9254204.548518628
S0,1953,45-49,7605649.243674964
S0,1953,50-54,6291842.975081325
S0,1953,55-59,4896707.669135541
S0,1953,60-64,3717655.372934729
S0,1953,65-69,2657211.619535625
S0,1953,70-74,1493559.5932992697
S0,1953,75+,1628914.1549118161
S0,1953,0-8,
S0,1953,9-14,
S0,1953,0-17,
S0,1953,18-29,
S0,1953,30-65,
S0,1953,66+,
S0,1953,15-26,
S0,1953,27-45,
S0,1953,46-65,
S0,1954,00-04,29299988.08020514
S0,1954,05-09,21138282.034118388
S0,1954,10-14,18982626.553368896
S0,1954,15-19,17827534.293562874
S0,1954,20-24,15826752.810625076
S0,1954,25-29,13751867.15623869
S0,1954,30-34,12132030.928168744
S0,1954,35-39,10671231.634165496
S0,1954,40-44,9350783.118488312
S0,1954,45-49,7934704.6832230985
S0,1954,50-54,6275875.6687271595
S0,1954,55-59,5242578.970156789
S0,1954,60-64,3616109.83711949
S0,1954,65-69,2904848.6770960093
S0,1954,70-74,1466987.1845494509
S0,1954,75+,1648271.5563094616
S0,1954,0-8,
S0,1954,9-14,
S0,1954,0-17,
S0,1954,18-29,
S0,1954,30-65,
S0,1954,66+,
S0,1954,15-26,
S0,1954,27-45,
S0,1954,46-65,
S0,1955,00-04,30246714.40649385
S0,1955,05-09,22028378.54241851
S0,1955,10-14,19175868.445678987
S0,1955,15-19,18026788.768844143
S0,1955,20-24,16143678.341259986
S0,1955,25-29,14029756.181331456
S0,1955,30-34,12328580.155494556
S0,1955,35-39,10852523.953379229
S0,1955,40-44,9480519.976944536
S0,1955,45-49,8200084.549652785
S0,1955,50-54,6363327.204794854
S0,1955,55-59,5479693.552192748
S0,1955,60-64,3644403.5693190396
S0,1955,65-69,3045402.3143330812
S0,1955,70-74,1517787.0377459526
S0,1955,75+,1654249.5115314126
S0,1955,0-8,
S0,1955,9-14,
S0,1955,0-17,
S0,1955,18-29,
S0,1955,30-65,
S0,1955,66+,
S0,1955,15-26,
S0,1955,27-45,
S0,1955,46-65,
S0,1956,00-04,31143317.22177499
S0,1956,05-09,23013600.708015297
S0,1956,10-14,19464351.667726725
S0,1956,15-19,18180257.035663992
S0,1956,20-24,16434693.581057921
S0,1956,25-29,14318448.031214595
