scheme,year,band,females
S0,1950,00-04,24694668.4621128
S0,1950,05-09,19654381.27507922
S0,1950,10-14,18596033.44359268
S0,1950,15-19,16659794.442496419
S0,1950,20-24,14592569.020874128
S0,1950,25-29,12832909.62088658
S0,1950,30-34,11443040.17045733
S0,1950,35-39,10003466.73737686
S0,1950,40-44,8735326.058504706
S0,1950,45-49,6882738.65842616
S0,1950,50-54,6051233.247535274
S0,1950,55-59,4206953.869285121
S0,1950,60-64,3752303.4448475195
S0,1950,65-69,2063501.3948209812
S0,1950,70-74,1618193.733198231
S0,1950,75+,1581319.8074493995
S0,1950,0-8,
S0,1950,9-14,
S0,1950,0-17,
S0,1950,18-29,
S0,1950,30-65,
S0,1950,66+,
S0,1950,15-26,
S0,1950,27-45,
S0,1950,46-65,
S0,1951,00-04,25729316.911728762
S0,1951,05-09,19942810.93604979
S0,1951,10-14,18745684.03575092
S0,1951,15-19,16945557.5819275
S0,1951,20-24,14874550.669146461
S0,1951,25-29,13035534.19921096
S0,1951,30-34,11615750.722241027
S0,1951,35-39,10142155.66953764
S0,1951,40-44,8963628.749274597
S0,1951,45-49,7034090.865024462
S0,1951,50-54,6235673.845482532
S0,1951,55-59,4315036.43006249
S0,1951,60-64,3846416.2138753887
S0,1951,65-69,2176374.42627954
S0,1951,70-74,1606493.878066129
S0,1951,75+,1584315.3378693194
S0,1951,0-8,
S0,1951,9-14,
S0,1951,0-17,
S0,1951,18-29,
S0,1951,30-65,
S0,1951,66+,
S0,1951,15-26,
S0,1951,27-45,
S0,1951,46-65,
S0,1952,00-04,26810428.80265086
S0,1952,05-09,20315893.96772347
S0,1952,10-14,18837094.26612554
S0,1952,15-19,17251250.68827966
S0,1952,20-24,15185982.64847534
S0,1952,25-29,13262512.30893251
S0,1952,30-34,11790818.86078383
S0,1952,35-39,10304559.46806346
S0,1952,40-44,9135622.548904749
S0,1952,45-49,7284132.335697055
S0,1952,50-54,6304240.340955511
S0,1952,55-59,4551113.912471991
S0,1952,60-64,3829732.4716912457
S0,1952,65-69,2387986.331511086
S0,1952,70-74,1552220.070352282
S0,1952,75+,1603752.8337099208
S0,1952,0-8,
S0,1952,9-14,
S0,1952,0-17,
S0,1952,18-29,
S0,1952,30-65,
S0,1952,66+,
S0,1952,15-26,
S0,1952,27-45,
S0,1952,46-65,
S0,1953,00-04,27991622.06043897
S0,1953,05-09,20735781.341607884
S0,1953,10-14,18897043.28195884
S0,1953,15-19,17562273.82781604
S0,1953,20-24,15513530.9638406
S0,1953,25-29,13507063.878482888
S0,1953,30-34,11964775.106636573
S0,1953,35-39,10488655.51055989
S0,1953,40-44,9254204.548518619
S0,1953,45-49,7605649.243674969
S0,1953,50-54,6291842.975081312
S0,1953,55-59,4896707.669135545
S0,1953,60-64,3717655.3729347326
S0,1953,65-69,2657211.619535636
S0,1953,70-74,1493559.5932992552
S0,1953,75+,1628914.1549118145
S0,1953,0-8,
S0,1953,9-14,
S0,1953,0-17,
S0,1953,18-29,
S0,1953,30-65,
S0,1953,66+,
S0,1953,15-26,
S0,1953,27-45,
S0,1953,46-65,
S0,1954,00-04,29299988.08020514
S0,1954,05-09,21138282.03411839
S0,1954,10-14,18982626.55336889
S0,1954,15-19,17827534.29356287
S0,1954,20-24,15826752.81062507
S0,1954,25-29,13751867.15623869
S0,1954,30-34,12132030.92816874
S0,1954,35-39,10671231.63416551
S0,1954,40-44,9350783.118488299
S0,1954,45-49,7934704.683223098
S0,1954,50-54,6275875.668727147
S0,1954,55-59,5242578.970156789
S0,1954,60-64,3616109.8371195
S0,1954,65-69,2904848.6770959967
S0,1954,70-74,1466987.184549441
S0,1954,75+,1648271.556309458
S0,1954,0-8,
S0,1954,9-14,
S0,1954,0-17,
S0,1954,18-29,
S0,1954,30-65,
S0,1954,66+,
S0,1954,15-26,
S0,1954,27-45,
S0,1954,46-65,
S0,1955,00-04,30246714.40649385
S0,1955,05-09,22028378.542418513
S0,1955,10-14,19175868.445678994
S0,1955,15-19,18026788.76884415
S0,1955,20-24,16143678.341259988
S0,1955,25-29,14029756.18133145
S0,1955,30-34,12328580.155494552
S0,1955,35-39,10852523.95337922
S0,1955,40-44,9480519.976944543
S0,1955,45-49,8200084.54965277
S0,1955,50-54,6363327.20479484
S0,1955,55-59,5479693.552192749
S0,1955,60-64,3644403.5693190484
S0,1955,65-69,3045402.314333075
S0,1955,70-74,1517787.037745956
S0,1955,75+,1654249.5115314387
S0,1955,0-8,
S0,1955,9-14,
S0,1955,0-17,
S0,1955,18-29,
S0,1955,30-65,
S0,1955,66+,
S0,1955,15-26,
S0,1955,27-45,
S0,1955,46-65,
S0,1956,00-04,31143317.221774988
S0,1956,05-09,23013600.7080153
S0,1956,10-14,19464351.66772673
S0,1956,15-19,18180257.035663992
S0,1956,20-24,16434693.581057917
S0,1956,25-29,14318448.031214599
S0,1956,30-34,12539403.231718589
