year,state,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
1991,Andaman & Nicobar,15902.320768179827,17848.952491448355,16389.75966596245,12915.349816015685,12744.470290414753,13955.758989492862,9311.281239227841,9224.396204076551,5513.47574722854,4719.712285450687,2856.7243695445623,1942.7367368574087,1549.1534420445673,969.3752673655259,610.9296340369104,830.3226791587177
1991,Andhra Pradesh,2097467.0486807395,2596801.21535206,2190459.769266562,1808896.5622432854,1765558.5758845499,1768047.3222556876,1352206.3667445094,1259400.6410386488,992946.2441427482,851848.7412861134,809632.9392873724,481909.3951468167,604610.7326763466,271456.56678306125,265777.0832903724,208224.80582982377
1991,Arunachal Pradesh,63886.840939135676,60282.376363513205,47152.4358160852,36412.770824876374,35271.240884365696,37408.138941958285,27192.133776030467,23751.67560402742,19137.154756187232,15458.86675800552,12415.680433785134,7309.9946984464395,7442.3912750397085,3661.225623330604,2952.8373130438563,3205.3471423854608
1991,Assam,1494902.825201709,1632122.5834327391,1337428.4512376501,1098653.9923177094,1023163.0263908753,1025176.6855971084,731573.4591124579,613930.3237566453,441184.98397140735,360567.28152137663,315733.04207296623,200817.0089785226,227899.90247032407,112425.22549328921,98370.91413078655,104570.4691614232
1991,Bihar,4511096.696576353,4844695.004755039,3670348.687540204,2454786.7050381675,2604432.656944037,2443538.5544734173,2283576.7592504066,1907192.59920591,1574135.0024958276,1268798.491486555,991785.6904472787,780760.5275825575,819951.8423258982,435781.7636340521,336613.46220261854,321670.0192061674
1991,Chandigarh,33474.760475604606,32766.778622002555,30588.839965002073,26898.737749835866,30500.28893109297,30756.722005471438,25035.93837950691,22003.88779223925,15328.395036101865,11997.735954796495,8129.02611813042,5851.3568311832005,4818.7555215919465,3066.0997681085255,2322.069715653592,2915.1139022524385
1991,Chattisgarh,1136939.9830761715,1117731.5424937417,955066.3226589914,724801.3779299709,756353.6109690405,715653.1691495914,599376.2855431013,493144.66890970914,415253.87479534425,384214.00150259346,327779.6043726009,241696.43442099474,236080.92506077516,138270.62489129746,110392.10557808314,110910.14069404836
1991,Dadra & Nagar Haveli,10394.681968657926,9135.921342128531,7444.881243035902,6430.371979242665,6891.092867598594,6241.061665996679,5010.976400935406,3927.545546999776,3135.9930610679994,2842.15315798702,1954.1840755171588,1706.5279513097853,1411.1971944263498,848.2423027663996,584.6280290819876,423.9118014053874
1991,Daman & Diu,5684.076834384017,5534.681518599863,6366.978404986657,5596.939027529053,4853.838314848285,4152.499995403991,3412.8998074310052,3124.9143547925014,2493.2219749014857,2244.89878500397,1740.012617205665,1402.657476392382,1356.446606361494,908.6070775629986,799.554370239295,760.2137770832535
1991,Delhi,547134.9449421669,547058.9007352345,476221.9008091656,404171.417546391,451454.88579571014,446528.5577458132,349731.2416051361,290876.78993317776,204960.22087006603,168664.6654756451,127384.08167481002,97321.68901898275,82801.78940098474,51276.39762338682,34790.33207944646,38370.633106684894
1991,Goa,47018.378563975246,54312.21783172918,62910.16990736732,64205.06651981132,61068.00037661631,54119.49779257499,43598.954622998885,41048.69763353839,32634.961397517887,28821.345057708655,23414.373417362192,16962.625120894405,18278.91791767278,11460.132869355808,9023.392274919363,8590.528292774175
1991,Gujarat,2324487.155063392,2492213.715079483,2324383.7507004556,1956874.457232817,1990749.1813226978,1733039.2912669987,1559581.2180548145,1220431.1396822126,1026597.6697872112,853959.7808875365,689257.4257337874,525554.1413886441,511018.49742562976,321504.7595593781,274281.753531843,278511.4277423852
1991,Haryana,1013198.3825362003,1044288.3134311299,965795.5670051428,724872.6322159749,720398.5657740752,655543.9966639295,546590.040321866,444021.4223914303,341632.45083389536,267679.0522390193,201552.43655026722,154580.9529781066,172295.77736548398,204707.06423850034,129187.48707447176,111166.54194868973
1991,Himachal Pradesh,289706.6093018508,299172.65300759574,312023.87921529677,276344.61059248826,241356.25872656592,213563.36307755514,169329.15522429292,162013.6930742593,124322.5147686383,114119.43206974733,92287.24894615244,71354.17435588826,73040.96773096488,45039.78990237501,37241.94115853473,45201.85613663406
1991,Jammu & Kashmir,436345.49362196994,550280.0893274456,522096.1328881057,443803.4471733032,352230.54965728207,304323.7865914633,246613.91720548194,237205.7708826982,180691.53718093428,163343.38426613915,119743.1732636451,96900.99135973745,83040.9543842849,49690.233603171066,40462.903280025166,45486.01734993366
1991,Jharkhand,1351855.9063502182,1510051.9677772142,1211441.8844759418,890817.3289657928,879810.737115355,826051.6749404311,765803.088157368,653415.9405118402,543363.3336494288,436614.3935185061,354599.1484070088,251865.27037908544,261853.43087063183,135110.8243874859,101607.46824261267,89817.60681769742
1991,Karnataka,2516767.4412099747,2839151.425547926,2679822.4203031873,2125829.6145453574,2029959.6744149786,2001414.0980263446,1547160.474674297,1442610.1028017655,1092240.4653095088,916783.7894959074,839357.903360389,503679.33903915196,637553.523811532,337842.70284207904,308955.1884380746,321114.14868884726
1991,Kerala,1303786.083486039,1422696.7334751687,1535799.0891574963,1554139.1871059297,1637780.4265686926,1405047.554624685,1071376.1175311874,1047302.3553565545,733570.3386100793,688598.8471048543,545038.0069781546,514223.5937400228,458636.51977654925,378826.86065342376,235630.45525430216,320476.28282035684
1991,Ladakh,8845.845611757142,11155.592952294042,10584.23165480146,8997.037515097629,7140.619320139107,6169.4259973397175,4999.498491899888,4808.77116440223,3663.0822699371683,3311.390583930249,2427.5021496377794,1964.4323631701457,1683.453760090273,1007.3488583947797,820.2871363412256,922.118580007173
1991,Lakshadweep,3394.9785427451707,3112.3335305449614,3013.8229480270797,2622.8226457719306,2437.0296012318868,1983.8837493111282,1536.2248099058643,1752.8139782945677,1249.695024291431,1192.288029013399,854.2392562101911,799.9242799280129,508.34269363250735,336.5559241367545,210.70298849012892,213.45731853439378
1991,Madhya Pradesh,3352526.303049106,3363031.9092483353,2739806.005112528,1992655.117165231,2221124.8278130703,2004962.3889611133,1647670.7921810069,1324422.9611188956,1081099.1596139045,959475.6746041264,771403.5816146169,603478.6211687679,616061.7640568785,363226.5432871373,300493.8924515558,325342.3054617575
1991,Maharashtra,4608850.900809803,4753375.066560318,4331655.9659646265,3344885.057829855,3523816.6027722983,3388522.801567636,2818139.5137658785,2499846.160168803,1983688.3034008741,1727128.8468783065,1444389.1783681032,1086151.8461507233,1109706.8260430845,687795.8073481218,516436.81034997426,520633.7658554746
1991,Manipur,101742.05776672356,112168.47492378666,110088.11839707919,101560.28488581501,91325.40595034891,84560.38249703098,63945.329851401235,56346.55893201564,42319.446301207194,35434.223426824,28883.555267562526,22877.484103827166,20392.53564619719,11967.86311818685,9357.943218085935,10937.665105996039
1991,Meghalaya,141852.20757670197,127370.73668507065,110244.94878230519,86493.02016068179,80213.60052552461,81748.1289645254,55570.84343129201,50352.741357401945,35780.23163872764,30857.704120934457,23525.791633294983,14810.914597069754,14653.527297924147,8200.220947575424,6391.235052779635,6927.873844302269
1991,Mizoram,45570.2274530107,43973.15838219872,44556.921507352126,37445.810947376296,31027.516955950457,30635.034600024614,23031.779780634843,18293.177564553698,14137.439361457915,11345.44915674782,9969.904482146068,7030.229908866492,6437.860323015596,3899.8031678367925,2629.255411312493,3607.4826834199207
1991,Nagaland,71647.44522546623,78560.75402435465,78097.65476870986,69980.25481517143,56022.57315094137,49351.78265863447,36656.85865762179,34273.724542739896,26584.25503965201,22677.97806654126,16508.943207129974,10411.80774625341,9766.542375918203,5916.0146546481155,4557.325342322343,6823.353351597347
1991,Orissa,1789184.03789937,2046775.952249663,1796402.0175096516,1547835.0232524627,1418857.985348309,1346692.1997718527,1084133.8344698038,970056.2378203708,776175.7443163495,702506.6310745152,603083.1974135932,445978.6476718171,459208.4679768883,264302.00182186865,222228.94501408483,198474.07380135037
1991,Puduchery,38881.553119213095,41406.225692468164,44456.39445326719,44045.5225587916,42836.505659717,39757.629275920655,28176.334311316077,27512.762899997375,19590.47831561051,18256.785575212587,14730.708144946659,11795.255786357666,11753.70385519908,7881.5285352786495,5688.3416904435035,5461.939550302276
1991,Punjab,1087110.2116159394,1116976.0904261298,1111029.605137823,977942.8829171612,926908.3477982049,805478.2942596058,696712.7643236689,599800.8297817254,495379.47125574865,417144.64795107854,317808.6586865184,272185.92226232373,264274.5741560662,172916.25548825017,133502.84221728373,162628.03465988045
